epoch,train_mse,validation_mse
1,49.94925060669581,47.71401754457351
2,8.055657569567362,20.278612649928757
3,7.405687220891317,12.467108620537651
4,6.126148138443629,9.19533015691746
5,3.3182525721689067,7.88658751102916
6,3.84984469016393,7.3629942330700615
7,4.210744444529215,7.078967445775082
8,4.201230033238729,6.798184199639929
9,2.777007316549619,6.484837264345403
10,5.088605533043544,6.2009129105952745
11,4.935078990459442,6.002018772370634
12,4.036998589833577,5.80164709146957
13,3.150363272676865,5.658452073035882
14,3.3442012230555216,5.494151963127984
15,3.6737091347575186,5.201069619920519
16,35.80394947330157,5.112549997909724
17,5.188643302520116,6.381243467679497
18,4.28469508488973,6.920476015896825
19,3.7613553444544476,6.991074774348945
20,4.056756334006787,6.885759168201023
21,4.072136670351028,6.674428053069533
22,3.8235695590575536,6.427707198070504
23,4.198063127199808,6.2394706784633165
24,3.668723836541176,6.053670897121318
25,3.7285909175872805,5.847808241147047
26,3.5012201418479285,5.594213677428619
27,3.1145527442296346,5.424687428781164
28,3.5029539267222085,5.304983397673445
29,2.6815597623586656,5.087751811010795
30,4.029161476095518,4.926706725045254
31,3.5199766437212627,4.703831224413643
32,3.03051003019015,4.4709438340008605
33,1.7073204273978868,4.239438317672551
34,5.401034021377564,4.233369304422746
35,4.38043553630511,4.631947373089037
36,25.10265989502271,7.253887225312797
37,4.40339287519455,9.04896604945088
38,4.376105195283889,9.786177636587132
39,4.848704361915589,9.896380675466437
40,5.217054128646851,9.775752563922726
41,4.715636752049128,9.6677837413654
42,4.6145587702592215,9.410079012140196
43,4.607597704728445,9.058546983707718
44,5.306161756316821,8.721810912528234
45,4.6414237976074215,8.399641557743674
46,4.934717166423797,8.088213558782611
47,5.5699759801228845,7.761217173079999
48,4.523542483647664,7.436125857091089
49,3.2447201371192933,7.125475019042255
50,3.060845551888148,6.856444900495964
51,3.866220634182294,6.573374188434311
52,2.749976301193237,6.29713308218627
53,3.3594924887021382,6.043148780775349
54,2.9625330259402594,5.76915243808289
55,3.428468441963196,5.5903612141720735
56,3.699550943573316,5.450256928017265
57,3.015706317623456,5.242204042903164
58,3.825395135084788,5.076605167130978
59,4.414813703298568,4.857450944289827
60,3.761447048187256,4.640224990091826
61,2.7843494097391766,4.466738420620299
62,4.499985186258952,4.267810783888164
63,3.150106946627299,4.211425736982223
64,2.241364453236262,4.038642760780123
65,2.4864140590031942,3.856499330865012
66,2.692140965660413,3.6783190683314673
67,2.5500220815340677,3.5808940133330416
68,2.3519492944081626,3.538529434922146
69,2.590751898288727,3.403327487016979
70,2.3170480117201806,3.231532133113571
71,3.260219458738963,3.070669775926753
72,2.397473981976509,3.009721960109925
73,3.2462304681539536,3.040376341482352
74,2.354615497589111,3.0943796069127076
75,2.4523621439933776,3.173254747052639
76,2.333710241317749,3.062665713809387
77,4.397713230053584,3.341548907652236
78,1.3817467833558719,3.440425191706384
79,2.615737807750702,3.393777951511026
80,2.866764271756013,3.244300457817769
81,1.7908115521073342,3.0540091611488522
82,2.9945826441049577,3.014127705529419
83,2.876430642604828,2.9099234886336744
84,3.2898719598849615,3.1420503073965595
85,2.045783006151517,3.157538708887602
86,2.343797163168589,3.082006839632291
87,1.5761947015921274,2.926574936212852
88,14.062407811482748,4.939794656128911
89,3.149639465411504,6.528583396945083
90,2.715647800763448,7.082761835633662
91,3.5298815727233888,7.141680321498224
92,4.2663618942101795,6.964626458653233
93,3.0548253054420154,6.691719149985508
94,2.4605195919672647,6.403273182305676
95,3.744850782553355,6.07525784997215
96,3.0347902864217757,5.7761921115786015
97,3.624324556688468,5.468016560314692
98,2.4978350440661115,5.198754647321868
