epoch,train_mse,validation_mse
1,2.044202136993408,3.958027663983797
2,1.506729527314504,2.4075020447111966
3,0.8371507922808329,1.1955578041355512
4,0.40439207951227824,0.5781774778812252
5,0.2761490652958552,0.38099424183717245
6,0.3371629516283671,0.24460100012215955
7,0.42135073741277057,0.3408987051562259
8,0.5715335756540298,0.6373249815221418
9,0.43519628842671715,0.6597738956150255
10,0.28071547696987786,0.4392070059190717
11,0.30351736495892206,0.2599910957771435
12,0.3307659854491552,0.19406626595739732
13,0.4020689845085144,0.18707289559799328
14,0.2254913459221522,0.19183891244799073
15,0.29099358469247816,0.2043129235331775
16,0.2537723869085312,0.1682712986455326
17,0.46637117564678193,0.28866245819811237
18,0.6024527152379354,0.3510690364572737
19,0.31318443417549136,0.5517767688684296
20,0.26616683502991995,0.46780805350744237
21,0.5740621189276377,0.44934926709236456
22,0.34581979115804035,0.5331079325480768
23,0.6526121785243352,0.645935579001555
24,0.2983470728000005,0.6203741260439332
25,0.2877978046735128,0.48620120771447123
26,0.25281396011511487,0.31268833516634
27,0.34125990271568296,0.24678016231771102
28,0.2571812689304352,0.27998953639415275
29,0.358809765179952,0.2960298864813576
30,0.5415902723868687,0.33744331967760943
31,0.2686700940132141,0.6036661044198867
32,0.29107747972011566,0.6032268635013647
33,0.333292822043101,0.4178067872747343
34,0.28853422502676646,0.26932143851330403
35,0.2742095857858658,0.22548145674474057
36,0.22459391554196675,0.2622031309799841
37,0.3013160010178884,0.3357016764886198
38,0.2805893381436666,0.32914680713101435
39,0.301914194226265,0.27475664873569333
40,0.18510086238384246,0.20160030037687535
41,0.29311518917481105,0.17105940210888956
42,0.23073695600032806,0.17420761801346005
43,0.2047337089975675,0.17145326576734843
44,0.44228941897551216,0.2638613210435499
45,0.14988075842459997,0.26726347068597
46,0.284420453508695,0.19911040444123118
47,0.18300319612026214,0.12004378254999194
48,0.3210156738758087,0.12836342718866137
49,0.24737288902203242,0.2776963053739559
50,0.16227659781773884,0.25600011394037836
51,0.20262425045172375,0.16610211822373128
52,0.1853290562828382,0.20258189694226136
53,0.25657659669717153,0.22151874798780297
54,0.18160345753033955,0.17597632502254687
55,0.18375453750292461,0.15151197877195147
56,0.12586285968621572,0.12740712922218947
57,0.2604128527144591,0.14460198337223099
58,0.2420808307826519,0.18954176285810637
59,0.10806947449843089,0.170009116854584
60,0.15021678227931262,0.10484628327060164
61,0.15724463909864425,0.09580112039520029
62,0.17765779383480548,0.1091322912807353
63,0.19837851226329803,0.09656177609287507
64,0.25729360481103264,0.11329013553627751
65,0.20906453828016916,0.1500103769943728
66,0.17272287458181382,0.11754596516577123
67,0.13739702800909678,0.06606622523905938
68,0.254268009463946,0.06792993991695649
69,0.2139819751183192,0.0801691388526158
70,0.18518943389256795,0.05565729310289461
71,0.21408989628156025,0.058212705261526054
72,0.1798010218888521,0.14052827882836436
73,0.1579783168931802,0.2210415677543272
74,0.1276696672042211,0.22387066771063888
75,0.0947737621764342,0.14400844580945912
76,0.27362312823534013,0.14914572108210178
77,0.18904337386290232,0.11072391655012878
78,0.11766760845979055,0.06804855790926002
79,0.1278933008511861,0.0557977530168511
80,0.14662179797887803,0.04972336883520522
81,0.17289170511066915,0.051261623961883676
82,0.14571893761555355,0.058467235655812494
83,0.08499817997217178,0.055180437906443724
84,0.14053443397084872,0.10261805224836919
85,0.36027505869666737,0.19608183841259158
86,0.180862066646417,0.28102014357583566
87,0.11821047676106294,0.21801829965491043
88,0.12612580160299938,0.14826062678942206
89,0.17794008317093055,0.1538103047692985
90,0.12463768323262532,0.13245072751714473
91,0.09679115464289983,0.09272050278054343
92,0.1059674878915151,0.06833553166068786
93,0.12432105839252472,0.07239471894432926
94,0.09626435960332552,0.0729233094910432
95,0.12305044035116831,0.05660659216387927
96,0.12757673189044,0.04661525051757606
97,0.14100182317197324,0.050669200979826745
98,0.0671481172243754,0.0657545021838612
99,0.16487442726890247,0.08943779126071093
100,0.18782269439349572,0.11986347518817723
101,0.09295201537509759,0.13388762601286347
102,0.11198449383179347,0.06132508561625118
103,0.10354608943065008,0.047874934034563645
104,0.0974824051062266,0.060308178004465605
105,0.09619752417008082,0.07291079743912346
106,0.07674472654859225,0.060198281613881126
107,0.0635489804049333,0.05823345983411834
108,0.07552029043436051,0.0611038339809019
109,0.13420778860648472,0.06018274946258082
110,0.11064411501089731,0.07642832873334661
111,0.05014179870486259,0.10678962090907738
112,0.15392953157424927,0.09076089978392361
113,0.11250314638018608,0.05681188199778049
114,0.07259882390499114,0.034040277083104815
115,0.05896274968981743,0.04382990507615937
116,0.12042891631523768,0.08290815802171217
117,0.06521842976411184,0.08887188546141686
118,0.09546024526158968,0.08831564546154257
119,0.10499355867505074,0.0510880163494955
120,0.07561841358741124,0.033896140133341156
121,0.10422430410981179,0.04523599071547999
122,0.11086748912930489,0.056413201843960245
123,0.08916508990029494,0.032983262277050326
124,0.10397852237025897,0.023624084726498837
125,0.1135677600900332,0.03294836924743583
126,0.08298675244053205,0.041771482371273094
127,0.17674454326430958,0.11255653838665165
128,0.10487740685542425,0.15868257622272647
129,0.0884307907273372,0.1197638126057491
130,0.1346082886060079,0.06537879367320858
131,0.03569602171579997,0.048785635689545796
132,0.10585450182358423,0.040115036462482656
133,0.06483426118890444,0.04407609373941059
134,0.11109308252731959,0.05808617924040521
135,0.10638114636143049,0.060673194060548705
136,0.06400772333145141,0.057954924235567015
137,0.044859310363729796,0.07330637150689175
138,0.0639080487191677,0.05697302441847952
139,0.05399479319651922,0.04704018181179002
140,0.056380696780979636,0.04416078812720483
141,0.04909774387876193,0.05388733250094436
142,0.09264534016450246,0.04797640850233753
143,0.07327275077501932,0.05183579879458885
144,0.09330749325454235,0.1036740390703692
145,0.07833743430674076,0.08788402491842794
146,0.06725402052203815,0.05546846554467553
147,0.05905756726861,0.042315231777771176
148,0.06227161002655824,0.038776141640387084
149,0.04744663015007973,0.035978967236757975
150,0.07849454581737518,0.03939706979221419
151,0.055370999438067274,0.04051021955994486
152,0.20101051926612853,0.049027600679655524
153,0.11383718227346738,0.11915699762907642
154,0.07118782525261243,0.09273355536990696
155,0.07732355060676734,0.048579570102064235
156,0.032310961683591204,0.028010853005257266
157,0.039012326300144194,0.025451337994887815
158,0.05246573040882747,0.028684837689176637
159,0.04950864811738332,0.03734856780770927
160,0.03556759605805079,0.04444869753648663
161,0.03961162380874157,0.04414924166617338
162,0.04852465863029162,0.041695483421024526
163,0.05083895300825437,0.03960941588146645
164,0.02703868815054496,0.04121028385751429
165,0.036796934654315314,0.04489220280134887
166,0.06234333080550035,0.04626954821815268
167,0.03996553753192226,0.04429567356904348
168,0.05803287687400977,0.02888475458698663
169,0.07982181534171104,0.042132265081531124
170,0.048684482276439664,0.04743279560267577
171,0.05034869263569514,0.0432562179732741
172,0.08705403469502926,0.06404068634698265
173,0.0626233576486508,0.06485521078806872
174,0.06151165366172791,0.03789649502924311
175,0.06145922044912974,0.03244052175977077
176,0.026076121628284453,0.041500957737192076
177,0.03580669400592645,0.04132513603881786
178,0.04868571981787682,0.03444377570385821
179,0.03687114343047142,0.029766929875078955
180,0.044387702643871305,0.02729411245655944
181,0.06356550852457682,0.029283740737459117
