model,orientation,n,rmse,mae,mape_pct
trace_sigma,horizontal,20,0.00041457569082390864,0.00027999286854545996,4.402695399816837
trace_sigma,vertical,54,6.961533681295883e-05,4.807299271489628e-05,1.5580918036943667
trace_sigma + orientation,horizontal,20,0.00021726145384035482,0.000187679782384355,3.661784876655261
trace_sigma + orientation,vertical,54,6.895486966405928e-05,5.195627435622403e-05,1.6739809172904554
trace_sigma,global,74,0.00022358141406401074,0.00011075404023667025,2.3269035864301695
trace_sigma + orientation,global,74,0.00012738580393230065,8.863830355301618e-05,2.211225230632295
