epoch,train_mse,validation_mse
1,1.8167003250122071,0.5065769863455263
2,0.9561137342453003,0.2974322988358262
3,0.5425574350357055,0.1707284217317627
4,0.38800403237342834,0.10136594431959603
5,0.263107658624649,0.07996692220131828
6,0.24902178466320038,0.06907056310303407
7,0.25320030212402345,0.061663237362079425
8,0.2611113387346268,0.06708374685824733
9,0.25938828945159914,0.06196673140440085
10,0.2519687509536743,0.05109869889047456
11,0.25667059779167173,0.05533259933533734
12,0.22924824595451354,0.07385972203457192
13,0.24189051359891892,0.07817227383182473
14,0.2342387455701828,0.06945230472475698
15,0.2299353989958763,0.04962237184382465
16,0.19214445769786834,0.03896326047036644
17,0.20172346949577333,0.03354296477332915
18,0.2223164439201355,0.04251951016230534
19,0.17784840404987334,0.053379117881190284
20,0.17801041930913925,0.05125549792835157
21,0.18595309257507325,0.041416083366852506
22,0.16184095025062561,0.03311172237441148
23,0.2066637396812439,0.03364073023302098
24,0.15112940788269044,0.03977902473448074
25,0.16871409118175507,0.026389690454130713
26,0.14950064837932586,0.02733804115209065
27,0.15897829413414002,0.03079002400962253
28,0.1435848766565323,0.025801702089964934
29,0.13968556374311447,0.025922647281868817
30,0.2047728443145752,0.04228252325564215
31,0.12396188132464886,0.050411040244037156
32,0.14834866777062417,0.040180322650360735
33,0.13057719945907592,0.046273803695628085
34,0.13002508759498596,0.04009727090086839
35,0.11587394714355469,0.03726177940731996
36,0.1267806714773178,0.029301046151412675
37,0.1425666531920433,0.025469111316926675
38,0.12702093183994292,0.02891626587928566
39,0.12041363149881362,0.03915644013514257
40,0.11167037665843964,0.03242312610302478
41,0.10165623426437378,0.02212011716519929
42,0.10530914545059204,0.025166552641416248
43,0.13006631910800934,0.03724098470929551
44,0.10651778250932693,0.03938621874541452
45,0.11258847653865814,0.03798884579478062
46,0.10169205114245415,0.044435178784474935
47,0.11106886774301529,0.03803905283343302
48,0.08775057494640351,0.032311177417023544
49,0.08646050602197647,0.02918182249653013
50,0.08360044091939926,0.025335319633659436
51,0.07707297682762146,0.027068844600899578
52,0.10120161145925521,0.03129474226742575
53,0.10098632633686065,0.03236719950625341
54,0.0943030309677124,0.035934546987896096
55,0.08064239427447319,0.020210635299756103
56,0.07803429409861565,0.031039640345699983
57,0.09747495740652085,0.029075297361163245
58,0.06758948773145676,0.020934638069712953
59,0.0743691410124302,0.02207224275151344
60,0.0706201083958149,0.0259191436718588
61,0.0759299573302269,0.036334426946019474
62,0.07925113707780838,0.03664973271015572
63,0.06326610952615738,0.021673325768174375
64,0.08009008705615997,0.020396930631250143
65,0.07466790348291397,0.01831177632924016
66,0.06495947182178498,0.014718482353762812
67,0.07846380680799485,0.015329422977791256
68,0.07310544341802597,0.017284587255283576
69,0.07122703701257706,0.02257640598571464
70,0.0692927399277687,0.02373278281358007
71,0.0630940282344818,0.025676094607947623
72,0.056777481138706204,0.018238986268231314
73,0.05689841598272324,0.020931132839456815
74,0.049695049673318864,0.025951518077556402
75,0.0623467618227005,0.025181769355110926
76,0.0607103431224823,0.029741551854634937
77,0.0702704530954361,0.024896003254880644
78,0.05622865796089172,0.021063681768432055
79,0.06067365914583206,0.020064497621704456
80,0.04916126023977995,0.020241713993353387
81,0.06933131158351898,0.019555370616790368
82,0.05268750965595245,0.018907281608410077
83,0.05543724611401558,0.015698001056603374
84,0.053180459141731265,0.01372710452096103
85,0.05290615677833557,0.01774311804352966
86,0.061328214854002,0.01396024040877819
87,0.05145232528448105,0.012559413189093952
88,0.05324197486042977,0.01813379172490884
89,0.04947672329843044,0.02972845192233177
90,0.04492570355534554,0.02664013982635655
91,0.046850272715091706,0.022691903227608497
92,0.05063414409756661,0.020793916785145458
93,0.05000225812196732,0.016238508784301477
94,0.04157810106873512,0.01755812663380822
95,0.043624006509780884,0.02273698357788667
96,0.04867266982793808,0.02386669352752705
97,0.04002196900546551,0.023076675577114705
98,0.04845749787986278,0.01714006469470181
99,0.04005925104022026,0.020845074665873018
100,0.040823611877858636,0.019379078882606062
101,0.03902371451258659,0.014187805022891254
102,0.044915065616369244,0.01561252780462781
103,0.04384335920214653,0.01687835172226984
104,0.0438920895755291,0.01593627586756667
105,0.03834764018654823,0.019368881270391484
106,0.03762212239205837,0.022588325664401054
107,0.04006274364888668,0.012389716232986483
108,0.04711262807250023,0.012529520649616032
109,0.033412064909935,0.019632457232434456
110,0.03398615803569555,0.01831198488808658
111,0.035015173852443696,0.01455699216115148
112,0.03644325017929077,0.010031313871428983
113,0.0396060149371624,0.014782338211797688
114,0.045028210952878,0.022579560285969955
115,0.03578789725899696,0.023993777978706034
116,0.028590243570506574,0.017241891396984663
117,0.03203734412789345,0.01775030176831435
118,0.03519461363554001,0.01740731403537809
119,0.04676573887467384,0.01866314567829648
120,0.0322702107578516,0.017339172198960227
121,0.04138078235089779,0.017007866644696015
122,0.039302808195352555,0.012817202761054856
123,0.028853961378335954,0.009777826167745134
124,0.03364863976836205,0.010910796479972666
125,0.029146234765648843,0.011435465427906546
126,0.04019755035638809,0.014831584444499179
127,0.026137687638401984,0.016134048212472708
128,0.032282658889889716,0.015102159206385482
129,0.03367805317044258,0.02621289743238116
130,0.03328141510486603,0.01578193527888762
131,0.03346234820783138,0.01193467838919326
132,0.02869545787572861,0.01311870137459203
133,0.036176179647445676,0.013467624694211026
134,0.0397402835637331,0.012181732101901753
135,0.029534735195338727,0.010556847169638088
136,0.029194011837244033,0.00970899137630038
137,0.02781736247241497,0.010631126734389835
138,0.030257584676146507,0.0178100463666328
139,0.03280179120600223,0.019289389354725406
140,0.029080685824155808,0.015121120870215436
141,0.03321326524019241,0.013724401478387722
142,0.02933457650244236,0.013784645890740499
143,0.027509108185768127,0.016086993968650085
144,0.026598595082759857,0.014391822293911078
145,0.038231922686100005,0.01607825027855292
146,0.027531454041600227,0.012223500745651657
147,0.034107677936553955,0.013555224232171497
148,0.03374447569251061,0.016092449630776495
149,0.025225391164422035,0.015363705178646192
150,0.029186942912638188,0.012497357054524226
151,0.028878099918365478,0.011461533414684746
152,0.029955312609672546,0.020094931738017355
153,0.0273139575868845,0.015956678466029363
154,0.029976441003382207,0.014477225683935701
155,0.028416458815336228,0.02008850821485258
156,0.03257217016071081,0.011392026412466618
157,0.0337078932672739,0.012229255030620587
158,0.03580365665256977,0.015692383918451937
159,0.028709807246923447,0.014059263383586929
160,0.02377368927001953,0.013607716455749453
161,0.027490136921405794,0.017166045379557023
162,0.022044472247362137,0.014194056646872873
163,0.024295957759022713,0.013548761695521334
164,0.025362727344036103,0.012641385988625761
165,0.03134719967842102,0.01117500176729813
166,0.027519050985574722,0.008236703067405583
167,0.025238955542445183,0.010861351358870121
168,0.024926365911960603,0.008072659156400047
169,0.03527288980782032,0.009112053180802358
170,0.024234872981905936,0.011873531053225472
171,0.024285967573523522,0.007245343733476858
172,0.028252219036221504,0.007245327001565123
173,0.024788329526782036,0.010533791596758855
174,0.024211766347289086,0.0077529924998238475
175,0.027219346165657042,0.008524207627936585
176,0.03180122196674347,0.017118532695386508
177,0.023607598319649696,0.01269684543144213
178,0.027120201960206033,0.010205665373638885
179,0.023554682061076165,0.01259285850731069
180,0.021901155039668083,0.014500316921366404
181,0.024687907919287683,0.008750305932066212
182,0.025936741307377817,0.018404369280762868
183,0.026178856566548347,0.013771265068997259
184,0.02818471595644951,0.007472650868792648
185,0.02214922897517681,0.008540398517802153
186,0.024523738473653793,0.012562590115384697
187,0.020527337826788426,0.01922163691320648
188,0.027292513102293015,0.013681078750691186
189,0.022289136499166487,0.012885588336072555
190,0.02414107270538807,0.010628342386079978
191,0.028218667060136794,0.0076318785726819955
192,0.025292925387620926,0.011775222785566768
193,0.02411752201616764,0.006648897301813919
194,0.02546536423265934,0.010447256713595292
195,0.02109369434416294,0.00925051158115472
196,0.020747133418917655,0.0055623845905320695
197,0.024645960479974745,0.011895621935390446
198,0.028288391381502152,0.013330781857853066
199,0.02506864584982395,0.013503800924510171
200,0.02482232980430126,0.00709302253919105
201,0.022242793217301368,0.011292592341667169
202,0.019645342975854872,0.01349251508100392
203,0.021810774877667426,0.011045418564893612
204,0.022079973332583904,0.008111331388609458
205,0.020828493274748325,0.007656011634748684
206,0.02283457722514868,0.012333787441866039
207,0.023075477331876756,0.009122849761010849
208,0.02594308938831091,0.0048586309900226655
209,0.021055039539933203,0.008579604653003689
210,0.018558101654052736,0.012414182906281459
211,0.019085148088634013,0.008065788732356813
212,0.018991053849458695,0.007875092499825645
213,0.01967574790120125,0.013424861257615155
214,0.02302376016974449,0.00849994769549533
215,0.021016738899052142,0.009615039899434945
216,0.026420812234282495,0.010986006908016661
217,0.018868386931717395,0.010692642516877553
218,0.023600163906812667,0.011552101013901299
219,0.02137498088181019,0.009179831252828853
220,0.02581252746284008,0.01473239994263404
221,0.02104198269546032,0.006263546173601118
222,0.02344140559434891,0.006680619545689184
223,0.025374651961028574,0.007043637367195054
224,0.02103929191827774,0.007029351440245566
225,0.024322808161377905,0.006856196215503836
226,0.021747611835598944,0.01233468809458491
227,0.021893225684762,0.01607291053419244
228,0.023359099552035332,0.011589548767429509
229,0.019276756346225738,0.006165907692725528
230,0.024868112355470658,0.011004164980801001
231,0.022125984728336334,0.008902571725416673
232,0.018718757629394532,0.00554101748953331
233,0.021782211288809777,0.010184502050484696
234,0.0211003839969635,0.009082602107361571
235,0.01965587954968214,0.00818541276026262
236,0.017493422478437423,0.008303566070350066
237,0.020505406484007834,0.009094001049150343
238,0.02388573542237282,0.008295093178238771
239,0.022792636901140213,0.015315841347591518
240,0.01847982995212078,0.0056636738846053
241,0.01999878004193306,0.008873887130454795
242,0.021918642595410348,0.0073628565679266025
243,0.023957225009799004,0.007038473923473734
244,0.019880522787570954,0.006162931243187352
245,0.024773133024573325,0.011259214416758655
246,0.022401820719242096,0.010821828389004485
247,0.020699165873229505,0.00899063055850055
248,0.02016356237232685,0.012383925830562637
249,0.022489461041986944,0.007676766541059294
250,0.020102187618613244,0.009272542896948448
251,0.016144683100283146,0.0073183063953502535
252,0.019659188278019428,0.011002563182519723
253,0.021175388544797898,0.007392756609016494
254,0.022011006213724614,0.007794521723503936
255,0.021180047914385797,0.008764845357365804
256,0.01988080494105816,0.004132410785668108
257,0.022515159621834754,0.004840131357873548
258,0.018867042176425458,0.007864242457874017
259,0.021881697028875352,0.003744646851037157
260,0.017207158729434013,0.004633919718637042
261,0.020595849230885505,0.004380055779769813
262,0.017271552681922913,0.008325964212417603
263,0.024965241178870202,0.01006146544616108
264,0.024347220733761787,0.005894316966351989
265,0.02272485626861453,0.01057125465969925
266,0.01820591162890196,0.009891322609802631
267,0.018509870432317256,0.0038654124539677205
268,0.02506375692784786,0.009364014899689858
269,0.015561875179409981,0.013438126684664048
270,0.020099409855902195,0.008477889046021928
271,0.02087271898984909,0.005536706894891311
272,0.022186888754367827,0.005655259015166188
273,0.017681190334260462,0.004946195042041475
274,0.016165317967534065,0.008887264622400885
275,0.015618591755628585,0.006671370836357548
276,0.019308338090777397,0.009646503331318293
277,0.020745819751173258,0.005071437611461502
278,0.01831410512328148,0.004423582680804068
279,0.019529996886849404,0.00562208645964322
280,0.020414174050092698,0.003808478249096605
281,0.01783024102449417,0.005387523919599105
282,0.01895710952579975,0.007567790655852997
283,0.01768672153353691,0.007176391569872017
284,0.019108634293079376,0.004403109356046539
285,0.020980602242052556,0.009274638098447698
286,0.018194067850708963,0.003959093836123404
287,0.01782648216933012,0.00619878109595547
288,0.018247370906174183,0.007877767124302583
289,0.015668534897267817,0.004813399175437142
290,0.022611190788447855,0.006812783391916589
291,0.019415822066366672,0.004843855700902131
292,0.01791842222213745,0.004816434693790666
293,0.024485311657190322,0.004237578132457725
294,0.016910679787397385,0.008918870291481279
295,0.017522132396697997,0.004267291264761597
296,0.0199960645288229,0.006507224996561465
297,0.01706049293279648,0.012762328482245745
298,0.020683545358479022,0.0036783980027045287
299,0.01889919139444828,0.005868672106210908
300,0.01799812339246273,0.00621300693346213
301,0.02026597984135151,0.009820810889136302
302,0.014891395904123783,0.007479363905699694
303,0.01687671348452568,0.004107464576931032
304,0.020701358057558537,0.006933025326834966
305,0.020761210173368454,0.0069502541629521
306,0.018464482948184015,0.004122356364299378
307,0.018497785031795503,0.005811980530007245
308,0.017674921229481697,0.005266373431667277
309,0.013998321369290351,0.0040990023886504235
310,0.017391576990485193,0.006344379181016798
311,0.014837798699736594,0.004985804060371976
312,0.015311175622045994,0.004137258380268739
313,0.019522772952914238,0.004216135431667918
314,0.017813132852315904,0.002978420884935313
315,0.020370585694909096,0.0025667912519715523
316,0.024406935721635818,0.002962655707163583
317,0.018099740520119666,0.006761255903705342
318,0.0170332270860672,0.005273904287804888
319,0.01929403215646744,0.008639648824624003
320,0.016982312574982644,0.011238288351219811
321,0.018989341594278814,0.009678731123878532
322,0.01817500703036785,0.006503359070175315
323,0.019030325263738632,0.004760085541295678
324,0.02132287435233593,0.006405247579494568
325,0.019336878657341003,0.0029176015690709016
326,0.017754952237010003,0.0036710156446756567
327,0.0202313644438982,0.007445113376191218
328,0.01802630800753832,0.004609117718183831
329,0.017704658098518847,0.002921495406429143
330,0.015777102001011373,0.0050732965887307305
331,0.01608929194509983,0.004771549854274482
332,0.015056051686406136,0.005295126941310216
333,0.015579974129796028,0.002967714560090577
334,0.01785003215074539,0.006881955156281387
335,0.014844621792435645,0.006072105584691649
336,0.01743053864687681,0.003932450260099483
337,0.01721858374774456,0.003084708895049479
338,0.01662008136510849,0.004623455760923967
339,0.018349038362503053,0.005450542901374706
340,0.013202318362891674,0.0034537123107950983
341,0.017740735486149788,0.004500078107549312
342,0.016903314217925073,0.00462176544872457
343,0.016757599264383315,0.005407197101118221
344,0.017987626753747463,0.006439516531329041
345,0.017466274425387382,0.0020240985290849046
346,0.01918934464454651,0.010230057388033769
347,0.017314231023192406,0.002182346270323973
348,0.016987196728587152,0.007211065379111734
349,0.01933053508400917,0.004703124749078734
350,0.0166425010189414,0.005323175270722745
351,0.01608657117933035,0.004953314837272444
352,0.013254766538739204,0.002413409553174797
353,0.013836145531386138,0.006331985401729606
354,0.016547678858041762,0.004302952425835067
355,0.014601173475384713,0.003597336320512711
356,0.017847886309027672,0.004706983333325958
357,0.01579592864960432,0.002590725861795961
358,0.02244853913784027,0.00221200526870583
359,0.0137071393430233,0.0037694210346073728
360,0.01758787803351879,0.003962230004293666
361,0.01775633655488491,0.0024240076325017295
362,0.016521098166704176,0.0027397618954363343
363,0.01529959712177515,0.004111413885392759
364,0.0212046043202281,0.00440590103373748
365,0.016193085312843324,0.002195004682369173
366,0.01465946190059185,0.0019289023132854435
367,0.015435764789581299,0.004712362394170606
368,0.017170604690909384,0.0016769989707016016
369,0.01880304031074047,0.006742241288445992
370,0.018379796519875525,0.004452388047891324
