model,orientation,n,rmse,mae,mape_pct,r2
density + MCN,global,127,5.5707901523410476e-05,4.232220038100468e-05,1.3310312123079286,0.9991345795207226
density + MCN,horizontal,20,1.243673926914054e-05,1.1005360588854966e-05,0.3353580349081899,0.9999910432540546
density + MCN,vertical,107,6.0452698542077294e-05,4.8175815295425205e-05,1.5171383482704965,0.3791491224460264
density + MCN + orientation,global,127,1.0377042397961297e-05,7.278822974439392e-06,0.23530675349646324,0.9999699710081541
density + MCN + orientation,horizontal,20,7.555159478416354e-06,5.770437901845172e-06,0.1941660605663579,0.9999966945966057
density + MCN + orientation,vertical,107,1.082318964124504e-05,7.560764109503732e-06,0.24299660264227738,0.9800993871278291
