density,MCN,trace_sigma,trace_K,trace_Fabric,q,q_over_p,kd,a,orientation,series_id,partition,row_id
0.6018476063863085,3.832370798163779,4990.516227908028,0.0010822065787053,0.3333333333333327,372.3053600430345,0.0746025747719291,5.355256201546534e-05,0.0065656660384223,horizontal,horizontal_2,train,20
0.6021279909533436,3.8936768843476974,6062.098865692763,0.0012505431525645,0.3333333333333324,420.8007520002337,0.069415026267828,5.756476507818666e-05,0.0061366277177853,horizontal,horizontal_2,train,21
0.6024412696412949,3.943432548496964,7362.655403058597,0.0014411180296319,0.333333333333333,475.4224014304536,0.0645721380947631,6.195090102629146e-05,0.0062365273544311,horizontal,horizontal_2,train,22
0.6027920743738135,4.026062490744854,8943.495020324686,0.0016582816115681,0.333333333333333,542.124866659614,0.0606166678046557,6.668554684293365e-05,0.0055290550925454,horizontal,horizontal_2,train,23
0.6031886609149701,4.075225825559011,10861.085045568272,0.001904878163653,0.3333333333333327,622.4338117892157,0.0573086214846639,7.204236205300966e-05,0.005407985609045,horizontal,horizontal_2,train,24
0.6037184700700806,4.132089441729602,13190.257877138813,0.0021750040757861,0.3333333333333332,754.0712615687288,0.0571688035664318,8.08198587915888e-05,0.0053534699238999,horizontal,horizontal_2,train,25
0.6042098034421504,4.19398785724863,16018.767788587562,0.0024995490712161,0.3333333333333341,836.8382600182451,0.0522411131157318,8.628317775242984e-05,0.0041870310556251,horizontal,horizontal_2,train,26
0.6047647280366955,4.24848215607878,19453.714020474505,0.0028681674380976,0.3333333333333333,934.907920711423,0.0480580684864318,9.1868139668354e-05,0.0038582391084139,horizontal,horizontal_2,train,27
0.6053878261707203,4.30534577224937,23624.45360119137,0.0032890060455453,0.3333333333333316,1045.616313705366,0.0442599152283732,9.87275567157365e-05,0.0040528511363154,horizontal,horizontal_2,train,28
0.6060885773818553,4.360728565082185,28689.375014056004,0.0037695818276096,0.3333333333333326,1180.587415667306,0.0411506843592407,0.0001070824953724,0.0039130960949429,horizontal,horizontal_2,train,29
0.6068771432621572,4.433585073300756,34837.51326935171,0.0043184463461566,0.3333333333333345,1349.576896871764,0.0387391857288233,0.00011702615462,0.0039592154444373,horizontal,horizontal_2,train,30
0.6077640867806435,4.496075818154894,42304.67739512584,0.0049457244124741,0.3333333333333343,1538.0143550622656,0.0363556573354101,0.0001262135465183,0.0031497732295623,horizontal,horizontal_2,train,31
0.6087600491893663,4.581963571745891,51371.26954409101,0.0056647961478011,0.333333333333333,1743.9516073964476,0.0339479951123194,0.0001363264375374,0.0039017584480348,horizontal,horizontal_2,train,32
0.6098789451493912,4.64504664593514,62381.10321098694,0.0064870628314487,0.3333333333333325,1983.0415072875428,0.0317891381398057,0.0001489709259439,0.003505693649894,horizontal,horizontal_2,train,33
0.6111354832993636,4.719383977491486,75750.26817039169,0.0074287799042313,0.3333333333333338,2291.431823613954,0.0302498179737085,0.0001635502154886,0.0031093586729262,horizontal,horizontal_2,train,34
0.6125495660167615,4.800829261069154,91985.05425802244,0.008507482680691,0.3333333333333341,2619.1326652184,0.0284734589368356,0.0001791875128537,0.0036979048745098,horizontal,horizontal_2,train,35
0.6141360995333922,4.876351251295721,111698.77552969856,0.0097425538268626,0.3333333333333335,2983.62514125395,0.0267113504790449,0.0001961760009434,0.0029248965693306,horizontal,horizontal_2,train,36
0.6159495812003757,4.937953502147193,135633.0266864565,0.0111501286050184,0.3333333333333333,3487.923508108008,0.0257158864129092,0.0002169170272747,0.0030553783472241,horizontal,horizontal_2,train,37
0.6179569451452731,5.017621797719532,164699.28072886262,0.0127672488241312,0.3333333333333324,3964.0992567958224,0.0240687101926191,0.0002323977221092,0.0026503570216428,horizontal,horizontal_2,train,38
0.6202180124939467,5.10706352732119,199994.03583528227,0.0146177869835489,0.3333333333333335,4453.880826166973,0.0222700682426112,0.0002467534006831,0.0024643277551632,horizontal,horizontal_2,train,39
0.6063008026150367,3.8769456681350953,4990.220324068279,0.0010923278051653,0.3333333333333323,392.3584605340559,0.0786254784466481,5.403752251490501e-05,0.0096806407249539,horizontal,horizontal_3,train,40
0.6065787772206842,3.958590308370044,6061.8544746616535,0.0012623446350917,0.3333333333333337,437.34847190966326,0.0721476362947617,5.81030173296856e-05,0.0091342934652909,horizontal,horizontal_3,train,41
0.606888308323357,4.01791483113069,7362.76468956163,0.0014549639435262,0.3333333333333337,490.8004424486812,0.0666598028244065,6.309916887622545e-05,0.0085530603316557,horizontal,horizontal_3,train,42
0.6072335969473501,4.090748898678414,8942.679636432264,0.001674529978814,0.3333333333333326,556.4632250104916,0.0622255573981956,6.920576615180273e-05,0.0078890272040251,horizontal,horizontal_3,train,43
0.6076213086606891,4.151248164464024,10860.982778120297,0.0019241787816878,0.333333333333333,640.3247177860405,0.0589564251106253,7.668358195124658e-05,0.0068463827425987,horizontal,horizontal_3,train,44
0.6080539835899322,4.22496328928047,13190.344016938936,0.0022096669114774,0.3333333333333327,723.5191610481356,0.0548521827875753,8.376162373737756e-05,0.0063410109180484,horizontal,horizontal_3,train,45
0.6085391804752515,4.286637298091042,16018.397001299332,0.0025356871419315,0.3333333333333341,822.1993055300375,0.0513284385112533,9.202295215443514e-05,0.0069590142047238,horizontal,horizontal_3,train,46
