epoch,train_mse,validation_mse
1,3.506385580698649,2.2209819658534733
2,3.7783955732981362,3.170073109348928
3,1.732765531539917,2.46667744981961
4,3.2139031489690146,1.2459606899051217
5,1.8398425976435344,0.7990144741699452
6,1.5402751843134561,0.7209285965233337
7,1.6022031545639037,0.5570392564789751
8,15.612743775049845,1.0185393598370664
9,1.8549855073293051,2.3177967925710004
10,2.495849891503652,2.8461636164056974
11,1.5200031042098998,2.861734450332762
12,3.4348232467969257,2.4579044618005828
13,2.0648121277491254,2.070989882382821
14,2.659750533103943,1.5506975974623614
15,1.7366524457931518,1.2056080556995288
16,5.614849690596262,2.14720021833585
17,2.8008182525634764,2.755927562713623
18,1.6168246428171793,2.9460187821876347
19,1.9926023006439209,2.7972096552060344
20,1.6440618515014649,2.5634806766284735
21,2.69968098004659,2.3671653467839158
22,2.040952229499817,2.1792818627019566
23,1.9669909755388895,1.97606321582644
24,1.5402756452560424,1.821822220415581
25,1.5979174017906188,1.6927564167600917
26,0.9846896886825561,1.5894801349151793
27,1.815734036763509,1.5025378268534744
28,1.4658895254135131,1.2409812847929678
29,2.065128674109777,1.1442144869819402
30,1.7103837529818218,1.1568284860746127
31,1.6603741387526194,1.2340063218056687
32,2.441595673561096,1.4126649888481682
33,1.3317085742950439,1.4204692573059263
34,1.1039007902145386,1.4167600382031418
35,2.3515822569529217,1.2346138649099454
36,3.802000856399536,1.3885607921232388
37,2.230478040377299,1.853830449224457
38,1.4145881573359171,2.1205626866948886
39,2.049016316731771,1.9786544362391074
40,2.0349670588970183,1.7804901764148802
41,1.7744213004906972,1.5390405748772809
42,1.9273897806803386,1.347573549024702
43,1.499782649676005,1.2656299725292235
44,1.44944167137146,1.1847236025051808
45,2.39309724966685,1.1642100637353312
46,1.598712400595347,1.230548875773047
47,1.46765984694163,1.1732832261427182
48,1.216839575767517,1.029712077435546
49,1.4207018216451008,0.9301391178228724
50,1.3208870530128478,0.8419096319694218
51,2.331636627515157,0.6711260912514577
52,5.1516090909639995,1.016535402752283
53,1.6206372102101645,1.9847654592333817
54,1.6037054141362508,2.3564875679691943
55,2.1820002675056456,2.455039045942111
56,1.9776671409606934,2.3830363910029253
57,2.6663605252901714,2.0634587261620467
58,24.983060228824616,2.9276828756482582
59,1.0992847005526225,4.266228643927987
60,3.632789651552836,4.667741264883928
61,2.302313272158305,4.598285684435386
62,3.9863835175832114,5.544436300833394
63,2.766948084036509,5.918261899722843
64,3.590558435519536,5.582786284093782
65,4.183319632212321,4.8887097347439745
66,3.7270594000816346,4.1164912914666605
67,2.7918358941872916,3.5574950937211045
68,2.0791532595952353,3.1454145908355713
69,1.7163414716720582,2.7446773756207445
70,2.65193333029747,2.33638127300683
71,2.009638100862503,1.984750970846086
72,1.8825898806254069,1.7411305296608781
73,2.685245184103648,1.564605091617802
74,2.3572248935699465,1.3260856887369643
75,1.9092053731282552,1.136433103378481
76,1.7835276106993356,0.9914428384710602
77,2.150707658131917,0.9213938016415112
78,1.4120136658350626,0.8509172423500714
79,3.137255688508352,0.7616329730789023
80,1.5172981023788452,0.683156329463786
81,1.555993765592575,0.6438361294860915
82,2.224258100986481,0.618653294608349
83,0.7348767042160034,0.5931302980175168
