epoch,train_loss
1,101.23945178985596
2,33.55115094184875
3,9.247731097539265
4,7.2401821931203205
5,46.210494168599446
6,5.020728699366251
7,2.8388212521870932
8,6.400824610392252
9,3.213371761639913
10,3.4612911224365233
11,4.090713357925415
12,3.455350160598755
13,3.5200621128082275
14,2.5735255241394044
15,3.036460034052531
16,6.73319054444631
17,2.765966069698334
18,2.0594159364700317
19,2.0150826652844747
20,2.0473222374916076
21,2.056037203470866
22,1.9859582980473836
23,1.783656390508016
24,1.8440444270769756
25,2.2115721583366392
26,1.9448248147964478
27,1.9769907395044963
28,1.658857665459315
29,1.7142505009969076
30,1.7245590607325236
31,1.3519049048423768
32,2.0222981413205465
33,2.1795366128285725
34,1.5406191368897757
35,2.1403008063634235
36,1.437674840291341
37,2.511580300331116
38,2.352144346634547
39,1.5851515630880992
40,1.7688947399457295
41,1.5590437134106954
42,1.6397133986155192
43,2.113439291715622
44,1.4673398812611897
45,1.614641531308492
46,1.6739649375279744
47,2.2791751543680827
48,1.378025515874227
49,1.9478981912136077
50,1.42027960618337
51,1.3338673492272695
52,1.336599063873291
53,1.2947757760683696
54,1.678888632853826
55,3.482236315806707
56,1.4507768630981446
57,1.2647308071454366
58,4.39186141093572
59,1.6483208338419597
60,1.5941458761692047
61,1.202503224213918
62,1.412926435470581
63,1.353130469719569
64,1.7882602294286092
65,1.6799384156862895
66,2.311214601993561
67,1.5207681775093078
68,1.605230708916982
69,1.8368743141492208
70,1.3818857590357463
71,1.3539786299069723
72,1.6410679936408996
73,1.4200381318728128
74,1.3563383440176646
75,1.606870432694753
76,1.3260216196378072
77,2.688183581829071
78,1.164069785674413
79,1.204429296652476
80,1.1696133315563202
81,1.365394550561905
82,1.7772937297821045
83,1.2864758054415384
84,1.2558666984240214
85,1.340166880687078
86,1.3696751515070598
87,1.138119888305664
88,1.0790130198001862
89,1.3619652171929677
90,1.332696839173635
91,1.1847732543945313
92,1.1790393431981405
93,1.1156154692173004
94,1.0483759979406992
95,1.302590278784434
96,1.5432836333910624
97,1.0330306529998778
98,0.9891903092463811
99,1.0534165302912395
100,1.2459457019964855
101,1.2936377763748168
102,1.1254525522391001
103,1.2672101537386575
104,1.0339756250381469
105,1.380861653884252
106,1.0266320288181305
107,1.39425115386645
108,1.584817467133204
109,1.2086725950241088
110,1.3582870920499166
111,1.1220883697271347
112,1.2770564675331115
113,1.2413061579068503
114,1.0100888629754385
115,1.2720990876356761
116,1.1416735827922821
117,1.4121485273043315
118,1.3238500992457072
119,1.1736388802528381
120,1.1135481377442678
121,1.2071140428384146
122,1.0648158272107442
123,1.632444723447164
124,0.8882696747779846
125,0.9765170931816101
126,0.9485752383867899
127,1.1679403503735861
128,0.8464363237222036
129,1.1803416550159453
130,1.0056843598683676
131,0.9311415374279022
132,0.8323901613553365
133,0.9585204005241394
134,1.125263512134552
135,1.0611730496088663
136,1.1179779688517253
137,1.2050632814566293
138,1.1160218715667725
139,1.3528584996859232
140,1.0289641241232554
141,2.2491586089134215
142,0.9457816640535991
143,1.1029815296332042
144,1.434602016210556
145,0.986161983013153
146,1.0262648185094199
147,1.0590095361073812
148,1.160584016640981
149,1.1294666826725006
150,0.8174821337064108
151,1.0278751254081726
152,0.9667580008506775
153,0.9512531975905101
154,0.9384764452775319
155,1.1332714358965557
156,1.1304154435793559
157,0.9510062495867412
158,0.891574494043986
159,1.2488412261009216
160,0.8931606372197469
161,1.1073442677656808
162,1.5638802746931713
163,1.058853988846143
164,0.8827534894148509
165,1.4225521047910055
166,0.9527042369047801
167,0.9566736300786336
168,0.7743503510951996
169,1.1750732610623043
170,0.9722988963127136
171,0.8597947120666504
172,0.9886492292086283
173,0.837140041589737
174,1.0406159480412802
175,0.8188074072202046
176,0.8404084364573161
177,0.8831368386745453
178,0.8025976796944936
179,0.8345115939776103
180,0.8238062560558319
181,1.0048713942368825
182,0.8614713490009308
183,0.9666909495989482
184,0.7145160893599193
185,0.9633623739083608
186,0.7791635990142822
187,0.7381823857625326
188,0.7551576107740402
189,0.8680379708607991
190,0.7720067501068115
191,0.7661020835240682
192,0.6754888037840525
193,0.7650723348061244
194,0.6966876059770584
195,1.085776749253273
196,0.764415051539739
197,0.8409894625345866
198,0.8898283064365387
199,0.695194665590922
200,0.725912506878376
201,0.613206547498703
202,0.9106465518474579
203,0.9870869755744934
204,0.7740814477205277
205,0.7833462864160537
206,0.8105163355668386
