epoch,train_loss
1,0.19296812787652015
2,0.02838404749830564
3,0.005460512079298496
4,0.0035321908032832044
5,0.0012346157416080435
6,0.0007992710277903825
7,0.0007241296601326516
8,0.0006018970462415989
9,0.0006073655288976928
10,0.00044790521593919644
11,0.0003711979031019534
12,0.0003224368857142205
13,0.0002805195598436209
14,0.0002541992371940675
15,0.0001978599024975362
16,0.00018963190814247355
17,0.00019567454583011568
18,0.00019470833406861252
19,0.0001781178832364579
20,0.0001649288555199746
21,0.00017851463247401018
22,0.0001442342797721115
23,0.00014548784796109733
24,0.00015333517512772232
25,0.00012480357666693937
26,0.0001475525505763168
27,0.00010524878962314688
28,0.00010565244689738998
29,0.00012205981814380114
30,0.00010118546827773874
31,9.820297903691728e-05
32,9.813136906207849e-05
33,9.543555812949004e-05
34,8.259012732499589e-05
35,8.239170662515486e-05
36,7.883272640659318e-05
37,7.498725838862204e-05
38,7.986959341603021e-05
39,7.210481562651694e-05
40,6.425088601342092e-05
41,6.326052813771336e-05
42,6.52420550371365e-05
43,6.104402382334229e-05
44,7.534683124201061e-05
45,7.372926750880046e-05
46,5.471822162993097e-05
47,7.184170778297508e-05
48,6.061266091516397e-05
49,9.699853253550828e-05
50,8.283551433123648e-05
51,5.9468886077714464e-05
52,4.7379603226242274e-05
53,6.168931831780355e-05
54,6.465768868414064e-05
55,7.674061974588161e-05
56,7.68959984270623e-05
57,5.5565473667229524e-05
58,6.310348932553703e-05
59,4.4486651798555003e-05
60,4.387621071752316e-05
61,7.591731749319781e-05
62,0.00010241844259629336
63,5.64864624417775e-05
64,4.609083625837229e-05
65,4.507854415957506e-05
66,4.614437008664633e-05
67,5.0686993745330255e-05
68,7.713042323302944e-05
69,9.243242820957675e-05
70,7.060566373790304e-05
71,5.912749741886121e-05
72,6.749983355499959e-05
73,9.718701985548251e-05
74,5.825783288552581e-05
75,4.878627102395209e-05
76,5.170631617753922e-05
77,6.132754181938556e-05
78,5.126631173576849e-05
79,7.742859985834608e-05
80,4.814843438604536e-05
81,4.1741631806265406e-05
82,3.9450210412420956e-05
83,4.328109650183857e-05
84,3.3554509658036597e-05
85,4.4998019560201405e-05
86,3.346816981017279e-05
87,3.190145416738232e-05
88,5.409613683392915e-05
89,4.2439809233959144e-05
90,2.8467295730176072e-05
91,4.1071017646269564e-05
92,4.4730481749866155e-05
93,5.234636507035854e-05
94,3.994409441171835e-05
95,5.8123277752504995e-05
96,5.122595290837732e-05
97,4.083494241058361e-05
98,4.8065009104902855e-05
99,4.4666658201701166e-05
100,4.7127526098241406e-05
101,3.518157397290148e-05
102,2.8322384180986168e-05
103,1.9847046860377305e-05
104,2.627111310478843e-05
105,3.261961743798262e-05
106,2.6972706412683085e-05
107,4.3366150809257915e-05
108,4.0546394059977806e-05
109,3.424318156248773e-05
110,2.4653652265745524e-05
111,3.6411854064984554e-05
112,4.303991797011501e-05
113,4.489228934592878e-05
114,3.4707951150873366e-05
115,3.666774385540824e-05
116,4.258663860431019e-05
117,5.7535273178170125e-05
118,6.626794226273584e-05
119,0.00010504029390479748
120,7.046197752060834e-05
121,5.452973649274403e-05
122,5.112395835264275e-05
123,2.9065750398634314e-05
124,3.421664083968305e-05
125,2.6437266205903144e-05
126,3.445032076948943e-05
127,3.449552386882715e-05
128,2.320305829925928e-05
129,2.791614824673161e-05
130,3.306565625583365e-05
131,2.1675574013594694e-05
132,2.7471234716358595e-05
133,2.143341577417838e-05
134,2.874954801275938e-05
135,2.0086542705636626e-05
136,3.518811463436578e-05
137,4.662226250123543e-05
138,7.60018672735896e-05
139,0.00012450690943902978
140,0.00010184932956083989
141,0.00016832266652878994
142,0.00012673262050763394
143,5.3174862053613954e-05
144,3.847033367492259e-05
145,2.4959108486655168e-05
146,2.397414743124197e-05
147,1.7114999476082934e-05
148,1.8175710344318456e-05
149,3.279012980783591e-05
150,5.665545795636717e-05
151,2.6748961560466947e-05
152,2.765758690657094e-05
153,2.6706114052406823e-05
154,3.378254080719974e-05
155,7.792953607956102e-05
156,5.381359969760524e-05
157,5.6627891475121335e-05
158,5.317257006633251e-05
159,8.148695693914003e-05
160,0.0001567709543451201
161,0.00014488145073604148
162,0.00013499792282042715
163,0.0001384699200571049
164,5.889442836632952e-05
165,7.514185563195497e-05
166,0.0001310470252064988
167,0.00019889614729133123
168,0.00021323903395871943
169,0.00021150736805187383
170,0.00014789340008671085
171,0.0001717866623948794
172,0.00020553975797762785
173,0.0001084197285308619
174,0.00012300583863786112
175,5.549279024611072e-05
176,5.7071607686035955e-05
177,7.160578315961175e-05
178,7.875335043839489e-05
179,0.00031001522171815546
180,0.0001381266980994648
181,7.702684088144452e-05
182,0.0002941220038337633
183,0.00023675765939212094
184,0.00019103389689310765
185,0.00018410638270628018
186,0.00011984472779052643
187,0.0002468219706012557
188,0.0003737505840642067
189,0.0002707417850615457
190,0.0011416061955969782
191,0.0025774152289765578
192,0.001537785145531719
193,0.0007940739800687879
194,0.0005263598781311884
195,0.0003446087139309384
196,0.00022183043911354615
197,0.0001970230111813483
198,0.0001479507484570301
199,0.0003607003774959594
200,0.00013072575068993805
201,0.00018358100205659867
202,0.00015077128045959398
203,0.00010001368379259171
204,6.187329139114202e-05
205,4.904638287068034e-05
206,3.902563785231905e-05
207,2.7370401767257135e-05
208,1.6066746168993026e-05
209,1.7895400681785152e-05
210,3.7215105779372e-05
211,1.8850583395154293e-05
212,1.7727551312418655e-05
213,5.245044533997619e-05
214,4.083618756946332e-05
215,4.249146077199839e-05
216,7.774148665096921e-05
217,5.995195730671791e-05
218,7.188439655389326e-05
219,5.516765074086531e-05
220,7.964723724095772e-05
221,0.00015924576534113535
222,0.00039364723682714005
223,0.0003834492657915689
224,0.0003270744397013914
225,0.0005591654888121411
226,0.0008950949214825717
227,0.00218988424167037
228,0.0012695554779687277
229,0.001038178841311795
230,0.0004778007724477599
231,0.00029735443046471726
232,0.00019181698638324937
233,0.00013806150285139058
234,7.87353787018219e-05
235,4.965424401840816e-05
236,6.401400569302495e-05
237,6.0468017970075986e-05
238,6.351969987008487e-05
239,0.00015898899340148395
240,0.0002137210855532127
241,5.091096063551959e-05
242,7.843275877045623e-05
243,5.924681415005277e-05
244,2.619862267844534e-05
245,3.823969782388303e-05
246,2.29724316947492e-05
247,5.604547047065959e-05
248,4.9169415433425456e-05
249,5.135125872281303e-05
250,3.499931444821414e-05
251,7.207547708579417e-05
252,0.00016702998073014896
253,0.0002107679657153009
254,3.92307360622605e-05
255,9.628123261791188e-05
256,7.292216517574464e-05
257,3.9417642741076026e-05
258,5.791573409320942e-05
259,4.622322364108792e-05
260,9.512948575623644e-05
261,7.259119932617371e-05
262,6.386905806721188e-05
263,0.0001573397776761946
264,0.00019021980066706115
265,9.8076860740548e-05
266,9.294575520470971e-05
267,0.0002723879306965197
268,0.0005276908123050816
269,0.00030176048846139263
270,5.669518826228644e-05
271,9.041206139954738e-05
272,0.00011796058715844993
273,0.00015436075288259113
274,5.021268043492455e-05
275,7.968447425810155e-05
276,0.0001432890334399417
277,9.686448465799913e-05
278,5.967446789630534e-05
279,7.744437704483668e-05
280,4.333259554793282e-05
281,3.6371464678571407e-05
282,4.635756607361448e-05
283,5.3534047401626596e-05
284,4.699953745633441e-05
285,6.127164524514229e-05
286,4.5122949025729515e-05
287,8.90407352320229e-05
288,0.0001032574178680079
289,5.5458475253544746e-05
290,6.107730502359724e-05
291,0.0001156894045076721
292,0.00014510464776928226
293,0.00013776362660185745
294,0.00013353202884900384
295,0.00031380413347505967
296,0.0022263278757842877
297,0.00174199491351222
298,0.0025499170490851006
299,0.00151620675654461
300,0.002132976996169115
301,0.0037490030207360785
302,0.019383942456139874
303,0.027264219212035336
304,0.008302147344996532
305,0.0018143945121361564
306,0.0009392409682429085
307,0.0005046449664708537
308,0.00017601851917182406
309,6.519326889247168e-05
310,3.0051801574397055e-05
311,2.061652430711547e-05
312,2.2424566729265887e-05
313,2.466573096171487e-05
314,1.7643453672159617e-05
315,1.52077518881318e-05
316,2.040486603315609e-05
317,3.129065826215083e-05
318,2.8385660455872616e-05
319,1.4983451334652879e-05
320,1.797999169260341e-05
321,1.3109988594806055e-05
322,2.2348212284365823e-05
323,3.1638956200670995e-05
324,1.3587385456048651e-05
325,1.930667749547865e-05
326,1.3865378120196207e-05
327,1.628627763542075e-05
328,2.1573064320061045e-05
329,1.4575122986570931e-05
330,1.6212815504938288e-05
331,2.6079974122694694e-05
332,1.7501348641720444e-05
333,1.3319296870880256e-05
334,9.760408223276803e-06
335,1.1255491820823711e-05
336,1.0549416735254151e-05
337,1.3169635591718058e-05
338,1.3367064252634008e-05
339,1.5092699929179313e-05
340,1.1481962519610534e-05
341,9.171485574673473e-06
342,9.739125986622337e-06
343,9.895999907409229e-06
344,1.789142961570178e-05
345,1.4105088954844783e-05
346,8.880900698689706e-06
347,1.2402422968686249e-05
348,1.490202527444732e-05
349,1.7577741042866062e-05
350,1.7696386748866644e-05
351,1.3566658738758027e-05
352,1.2821935615647818e-05
353,1.6633989798719994e-05
354,1.460043828653094e-05
355,9.779719054373951e-06
356,1.0540530244422067e-05
