combination,features,cv_K_rmse,cv_K_mae,cv_K_r2,final_epochs
12_density+MCN,"density,MCN",5.2088231125353814e-05,3.1405863301689354e-05,0.9998211978804472,320
03_MCN,MCN,5.239925685843084e-05,3.4073102208273695e-05,0.9998190562030435,1183
33_density+MCN+q_over_p,"density,MCN,q_over_p",5.4381444889032704e-05,3.61515768357866e-05,0.9998051075887965,418
16_MCN+q,"MCN,q",5.945576983905894e-05,3.683165719323462e-05,0.999767039946453,1722
17_MCN+q_over_p,"MCN,q_over_p",6.010254036528326e-05,3.8865211528616266e-05,0.9997619440166988,1404
27_trace_sigma+MCN+q_over_p,"trace_sigma,MCN,q_over_p",6.076325136920479e-05,3.933984923343359e-05,0.9997566813194705,1223
26_trace_sigma+MCN+q,"trace_sigma,MCN,q",6.173036805708377e-05,4.012700364890705e-05,0.9997488742905448,1122
32_density+MCN+q,"density,MCN,q",6.263422455295751e-05,4.5184561722089524e-05,0.9997414664832011,1075
48_trace_sigma+MCN+q+q_over_p,"trace_sigma,MCN,q,q_over_p",6.340937414905741e-05,3.921307943587278e-05,0.999735027759881,1258
38_MCN+q+q_over_p,"MCN,q,q_over_p",6.570943024692623e-05,3.829394244495993e-05,0.9997154563835298,1635
44_trace_sigma+density+MCN+a,"trace_sigma,density,MCN,a",6.913189173702889e-05,4.420982399634522e-05,0.9996850436808856,2971
14_density+q_over_p,"density,q_over_p",7.097007732899577e-05,4.4962723949740786e-05,0.999668071914671,378
54_density+MCN+q_over_p+a,"density,MCN,q_over_p,a",7.470792761987886e-05,5.2601145766855306e-05,0.9996321872136616,640
22_trace_sigma+density+MCN,"trace_sigma,density,MCN",7.475012849119032e-05,5.282479159080709e-05,0.9996317715575302,1294
53_density+MCN+q+a,"density,MCN,q,a",7.687178791515711e-05,4.192194060782726e-05,0.9996105717901189,2906
61_trace_sigma+MCN+q+q_over_p+a,"trace_sigma,MCN,q,q_over_p,a",7.791923006326112e-05,4.970319572200974e-05,0.9995998869200394,1516
23_trace_sigma+density+q,"trace_sigma,density,q",7.886631062631972e-05,4.3275708052986944e-05,0.9995901013444589,1139
18_MCN+a,"MCN,a",7.952309646879288e-05,4.940144726086877e-05,0.9995832457777734,306
43_trace_sigma+density+MCN+q_over_p,"trace_sigma,density,MCN,q_over_p",7.960387459918443e-05,4.522417111038066e-05,0.9995823986848819,878
56_MCN+q+q_over_p+a,"MCN,q,q_over_p,a",8.038300256642802e-05,4.858177564231196e-05,0.9995741840815092,2034
