combination,features,cv_K_rmse,cv_K_mae,cv_K_r2,final_epochs,ensemble_test_K_rmse,ensemble_test_K_mae,ensemble_test_K_r2
12_density+MCN,"density,MCN",5.3694780830804065e-05,3.279703247270273e-05,0.9998099982539528,1885,3.015036040773898e-05,1.665022711790316e-05,0.9997464996370062
16_MCN+q,"MCN,q",6.03144233497989e-05,3.135668740666866e-05,0.9997602625928698,4517,4.944852178625411e-05,3.4495444526927815e-05,0.9993181321776725
03_MCN,MCN,6.374888031129654e-05,3.966374841450583e-05,0.9997321827376593,2104,4.55954441541925e-05,2.7042350627743426e-05,0.9994202557219685
38_MCN+q+q_over_p,"MCN,q,q_over_p",6.440998063506543e-05,3.830675145937083e-05,0.9997265991999624,3272,3.750524025956363e-05,2.506597736808709e-05,0.9996077368843393
26_trace_sigma+MCN+q,"trace_sigma,MCN,q",6.452251707875235e-05,4.101421162374256e-05,0.99972564299933,3998,5.361330795065819e-05,4.891690799927696e-05,0.9991984349404838
42_trace_sigma+density+MCN+q,"trace_sigma,density,MCN,q",6.483567200764986e-05,4.037731396864273e-05,0.9997229733966924,3232,4.419628154205363e-05,4.140672613043436e-05,0.999455290395877
27_trace_sigma+MCN+q_over_p,"trace_sigma,MCN,q_over_p",6.564394989353638e-05,4.191022364966866e-05,0.9997160232042421,3090,3.439628201199901e-05,2.2896715969084613e-05,0.999670073977168
53_density+MCN+q+a,"density,MCN,q,a",7.675605853436802e-05,4.667768295337306e-05,0.999611743464721,3849,3.0324637447436757e-05,2.544486217634676e-05,0.9997435605692
35_density+q+q_over_p,"density,q,q_over_p",7.88100147767519e-05,4.3597001112187026e-05,0.9995906863181195,3167,4.377448661703728e-05,3.431906203310302e-05,0.999465637845102
24_trace_sigma+density+q_over_p,"trace_sigma,density,q_over_p",7.909630200460256e-05,4.5900143964967346e-05,0.9995877071506252,2863,5.01565604066397e-05,3.9146765603945855e-05,0.9992984654540318
