series,initial_density,pressure_kpa,log10_pressure_kpa,density,target_pressure_pa,pressure_error_pa,unbalanced_force,checkpoint,packing_file,time,p,packing,MCN,sigma_xx,sigma_xy,sigma_xz,sigma_yx,sigma_yy,sigma_yz,sigma_zx,sigma_zy,sigma_zz,K_xx,K_xy,K_xz,K_yx,K_yy,K_yz,K_zx,K_zy,K_zz,Fabric_xx,Fabric_xy,Fabric_xz,Fabric_yx,Fabric_yy,Fabric_yz,Fabric_zx,Fabric_zy,Fabric_zz,q,q_over_p,kd,a
density_0.595,0.595,4.990218587809447,0.6981195695512997,0.599881890274012,5000.0,-9.781412190553056,0.0011586791513094527,1,inletPGDEM_5000.mdpa,0.2031510000001825,4990.218587809447,0.599881890274012,3.6576549663928306,4989.0324071678615,-39.16949743938507,-132.59583044449124,-39.159815265834055,4977.388042170837,54.720743981722876,-132.58706800738292,54.68294764838253,5004.235314089644,0.0010779364317476674,-9.565935785834409e-06,-2.109825655185853e-05,-9.565935785834409e-06,0.001084309152068032,4.262281041924998e-06,-2.109825655185853e-05,4.262281041924998e-06,0.0010853380852733198,0.3306901155504593,-0.0009501382168050081,-0.0045382893084139776,-0.0009501382168050081,0.33469485076563354,-0.000673024921340933,-0.0045382893084139776,-0.000673024921340933,0.3346150336839074,0.25858018671867183,0.051817406826697866,4.138428640643057e-05,0.009032165504471381
density_0.595,0.595,6.062539812611245,0.7826546036252645,0.6001693899817193,6071.4014672692865,-8.861654658041516,0.000958639439982852,2,inletPGDEM_6071.mdpa,0.24270100000022204,6062.539812611245,0.6001693899817193,3.71142643764003,6052.895334483443,-50.341499143375074,-157.47751785542638,-50.3642678388853,6056.422068152117,55.05371502485689,-157.44594511114298,55.06002904302895,6078.302035198176,0.0012404259684703105,-1.1196248572928247e-05,-2.3758992239604325e-05,-1.1196248572928247e-05,0.001250183822733535,3.843763317131493e-06,-2.3758992239604325e-05,3.843763317131493e-06,0.0012495545258653508,0.3311636338994803,-0.0006419777130851206,-0.004164334728306374,-0.0006419777130851206,0.3345500137659609,-0.0005978716797772576,-0.004164334728306374,-0.0005978716797772576,0.3342863523345606,0.30273906840435721,0.049936013248870044,4.693966105120588e-05,0.008060895555986351
density_0.595,0.595,7.362558764147235,0.8670287741235831,0.6004903226581786,7372.383155351938,-9.824391204702806,0.0003351733775357414,3,inletPGDEM_7372.mdpa,0.2799009999994293,7362.558764147235,0.6004903226581786,3.769678864824496,7341.755158709519,-64.94406818821648,-187.63911082058672,-64.77184758000507,7365.376340981138,53.78562383624103,-187.18546048798171,53.76348784940221,7380.544792751049,0.001424713253579924,-1.3097363120063327e-05,-2.7006295162176725e-05,-1.3097363120063327e-05,0.0014383396489747425,3.012025165560003e-06,-2.7006295162176725e-05,3.012025165560003e-06,0.0014359115894193343,0.33060696840958154,-0.002045559222921424,-0.004329890548112948,-0.002045559222921424,0.33502040181529097,-0.0009057928192062814,-0.004329890548112948,-0.0009057928192062814,0.334372629775127,0.35750717897676143,0.048557463570638074,5.374335316266093e-05,0.009396663251103188
density_0.595,0.595,8.944827972548516,0.9515719926069883,0.600851454607023,8952.139581335026,-7.311608786509169,0.0005453176376562259,4,inletPGDEM_8952.mdpa,0.3162009999984581,8944.827972548517,0.600851454607023,3.810604929051531,8913.181066348365,-80.58768335919801,-220.20278683449877,-80.58842943356103,8959.027271466237,51.62583031894269,-220.20790107675032,51.61853078964498,8962.27557983095,0.0016352009916938048,-1.4947054309375264e-05,-3.0167002477229574e-05,-1.4947054309375264e-05,0.0016526166938252982,2.0375432850310456e-06,-3.0167002477229574e-05,2.0375432850310456e-06,0.0016481038769700727,0.3315083098844592,-0.0014398607701983307,-0.0039648476086150625,-0.0014398607701983307,0.3349472080993707,-0.0014002934530892744,-0.0039648476086150625,-0.0014002934530892744,0.33354448201617026,0.41858139268144329,0.04679591312052736,6.048074473299755e-05,0.008260262782083192
density_0.595,0.595,10.860324277223352,1.0358427929974088,0.6012589237488208,10870.406677863399,-10.082400640047126,0.00061067826110547,5,inletPGDEM_10870.mdpa,0.3526009999974842,10860.324277223352,0.6012589237488208,3.8563106796116506,10811.52112300667,-101.33550897861107,-261.8621199621827,-100.82267504653605,10893.626783940726,49.36474748059289,-261.4527983784859,49.44762572613715,10875.824924722661,0.0018732962500031213,-1.744623379654936e-05,-3.420046229087102e-05,-1.744623379654936e-05,0.0018961800640522129,1.1501629349978427e-06,-3.420046229087102e-05,1.1501629349978427e-06,0.0018877749332534917,0.3320166389339386,-0.0018920802401938622,-0.003906962239478702,-0.0018920802401938622,0.335131360480592,-0.0010058139019753895,-0.003906962239478702,-0.0010058139019753895,0.33285200058546927,0.49896360644793625,0.04594371159748701,6.948431784965129e-05,0.008207639734486323
density_0.595,0.595,13.191127707085515,1.1202819248889908,0.6017360886967354,13199.720610758754,-8.592903673237743,0.0004531170716157549,6,inletPGDEM_13200.mdpa,0.38825099999653034,13191.127707085516,0.6017360886967354,3.895444361463779,13148.420544478751,-131.97857467247783,-292.9587751911587,-131.742363109125,13231.454245334082,35.78031016514033,-293.3688384085295,35.91164654568392,13193.508331443714,0.0021461268047914084,-1.990016173479724e-05,-3.7450378826778014e-05,-1.990016173479724e-05,0.002170876734517116,-6.422357008068452e-07,-3.7450378826778014e-05,-6.422357008068452e-07,0.002159661951208535,0.33127030360313875,-0.0017527192491514274,-0.0037469956104733094,-0.0017527192491514274,0.33582543954786276,-0.001435549835582044,-0.0037469956104733094,-0.001435549835582044,0.33290425684899655,0.56483208496596593,0.04281909003599219,7.653525084179484e-05,0.008572899166993397
density_0.595,0.595,16.019623768768774,1.204652312181031,0.6022473162287096,16028.160616741054,-8.536847972278338,0.0003824880987422464,7,inletPGDEM_16028.mdpa,0.4197009999956889,16019.623768768775,0.6022473162287096,3.9599701269604184,15958.598966018766,-163.94280698861058,-348.8920221909641,-163.83665404523532,16080.52175820406,28.989347414950586,-349.86965807835765,29.16258489797338,16019.7505820835,0.002458961347288328,-2.273606484315494e-05,-4.249303934096376e-05,-2.273606484315494e-05,0.002489116748486543,-2.354856958686133e-06,-4.249303934096376e-05,-2.354856958686133e-06,0.0024736927099310085,0.3322860546773154,-0.0013875013717799941,-0.003449660389224073,-0.0013875013717799941,0.33543250693137217,-0.0019280614621854104,-0.003449660389224073,-0.0019280614621854104,0.33228143839131374,0.67857670200439468,0.04235909106225834,8.755871333505989e-05,0.0079084082848297
density_0.595,0.595,19.454830255558605,1.2890274459135556,0.602824684861565,19462.679577221905,-7.849321663299634,7.587457779541759e-05,8,inletPGDEM_19463.mdpa,0.4496009999948889,19454.830255558605,0.602824684861565,4.026587005227782,19369.98592078681,-204.22341272627057,-418.1498670103502,-203.85841857743637,19542.650420650945,20.032510168545134,-418.80628921479916,20.230173541784897,19451.85442523806,0.0028166331073152615,-2.619483987330956e-05,-4.8160084454202623e-05,-2.619483987330956e-05,0.0028531619363742823,-3.820190652665651e-06,-4.8160084454202623e-05,-3.820190652665651e-06,0.002832505575928611,0.3322403640961122,-0.0016849756635577426,-0.003388398560833382,-0.0016849756635577426,0.3356631585537493,-0.0014410452091921648,-0.003388398560833382,-0.0014410452091921648,0.3320964773501394,0.82089326570641574,0.042194830534276764,0.00010033423942664898,0.007837073262249547
density_0.595,0.595,23.626981884064502,1.3734082483014005,0.6034738637552948,23633.148268427438,-6.166384362935787,0.00010108010036172777,9,inletPGDEM_23633.mdpa,0.4779009999941317,23626.981884064502,0.6034738637552948,4.08991784914115,23514.18302152337,-251.22830118640925,-496.0817590646415,-251.2288148547571,23746.21510356808,11.855053560974419,-496.08010850674316,11.864973696147914,23620.54752710206,0.0032263532277380116,-3.020577389316118e-05,-5.4292238706878484e-05,-3.020577389316118e-05,0.003268929379254517,-5.29430608860261e-06,-5.4292238706878484e-05,-5.29430608860261e-06,0.0032435360543436966,0.33188919050857646,-0.0017829919174134259,-0.003447913811663145,-0.0017829919174134259,0.33588498954774965,-0.0014420712014393973,-0.003447913811663145,-0.0014420712014393973,0.3322258199436735,0.98413949265240708,0.04165320384471838,0.00011419543112935724,0.008134792148877117
density_0.595,0.595,28.69006831620725,1.4577315823804184,0.6042015888931443,28697.266214624622,-7.197898417372926,0.00010054996597730447,10,inletPGDEM_28697.mdpa,0.5040509999936569,28690.06831620725,0.6042015888931443,4.151456310679611,28541.875488833517,-308.0234601045601,-589.6664907224932,-308.0819265507644,28846.006322641275,-3.900450470067552,-590.1911963915,-3.195618625305659,28682.323137146945,0.0036952998849172133,-3.4137232689773024e-05,-6.072123729540707e-05,-3.4137232689773024e-05,0.003744393535571858,-6.855582176839636e-06,-6.072123729540707e-05,-6.855582176839636e-06,0.003714502969719405,0.33229681884398815,-0.0013918260470201032,-0.0028868723116389212,-0.0013918260470201032,0.3352714528820279,-0.001516627041996123,-0.0028868723116389212,-0.001516627041996123,0.33243172827398565,1.182489957619689,0.041216003551713086,0.00012858635397235152,0.006795546280631074
