checkpoint,packing_file,time,p,packing,MCN,sigma_xx,sigma_xy,sigma_xz,sigma_yx,sigma_yy,sigma_yz,sigma_zx,sigma_zy,sigma_zz,K_xx,K_xy,K_xz,K_yx,K_yy,K_yz,K_zx,K_zy,K_zz,Fabric_xx,Fabric_xy,Fabric_xz,Fabric_yx,Fabric_yy,Fabric_yz,Fabric_zx,Fabric_zy,Fabric_zz,q,q_over_p,kd,a
1,inletPGDEM_density_000_0.599432.mdpa,0.11820100000009755,19991.339078663386,0.5994315195202948,3.9065138721351027,20112.656346000265,-306.1212165365023,-132.33365687155072,-306.1303376860384,19940.69849215129,195.79942654967743,-132.4797028217062,195.82452586673705,19920.6623978386,0.002767309815397073,-3.647198319394026e-05,-1.4033566538536767e-05,-3.647198319394026e-05,0.0027716434980526736,2.8874642578446306e-05,-1.4033566538536767e-05,2.8874642578446306e-05,0.002762417234466624,0.3315723350012127,-0.002592159285325174,-0.0018041583839235066,-0.002592159285325174,0.3342209228821502,0.001877365203604086,-0.0018041583839235066,0.001877365203604086,0.33420674211663576,0.69438957351386832,0.034734520323102584,8.453753984124878e-05,0.006890137290426289
2,inletPGDEM_density_001_0.608454.mdpa,0.1714510000001508,19991.159883922446,0.6084542121902438,4.010856453558504,19963.06115847014,-20.812934715838036,-119.01591978285529,-20.877891131517487,20359.218490758332,431.83325468068807,-118.90949921245165,431.87698317312714,19651.200002538873,0.002865584991631932,-2.1797149720291186e-06,-1.1239914701367404e-05,-2.1797149720291186e-06,0.002920182190517515,5.306731067904554e-05,-1.1239914701367404e-05,5.306731067904554e-05,0.002833621504129115,0.33302979222894424,0.0010570790107413256,-0.0008966195359962902,0.0010570790107413256,0.3363046764455345,0.0030477433063749947,-0.0008966195359962902,0.0030477433063749947,0.3306655313255244,0.99045475054554233,0.049544636544180655,0.0001207862345279532,0.007595230255530363
3,inletPGDEM_density_002_0.612859.mdpa,0.21330100000019264,19991.085284004577,0.6128593146993422,4.211097708082026,20011.29515456544,58.02049380476382,134.22437716123702,58.032517794134215,20272.44868407343,37.39277822726639,134.20282316734853,37.41548070909207,19689.512013374864,0.0029284420724298038,7.034678883359433e-06,1.075344612058629e-05,7.034678883359433e-06,0.0029536335593609497,1.27761506148914e-05,1.075344612058629e-05,1.27761506148914e-05,0.0028823076284529357,0.3343960046031074,0.0014080663713508035,0.00010518294462310352,0.0014080663713508035,0.3353051563320871,0.00278281822363728,0.00010518294462310352,0.00278281822363728,0.3302988390648058,0.5693142050461566,0.028478404096534005,7.007319874502665e-05,0.0071099678141989565
4,inletPGDEM_density_003_0.615644.mdpa,0.2508010000002079,19991.2893302344,0.6156444084324395,4.345597104945718,20111.699491913856,14.348380070508192,-55.70036720399389,14.342829755042887,20201.886319669033,103.58657031433408,-55.734804805486164,103.56916319690701,19660.282179120306,0.0029533462035775068,-2.385057511827387e-06,-3.605338657072552e-06,-2.385057511827387e-06,0.0029695894934428516,1.673093384490924e-05,-3.605338657072552e-06,1.673093384490924e-05,0.0029011735309966797,0.33358836602378894,0.001130154998535135,0.0012686114551130724,0.001130154998535135,0.3368682933824558,0.002181149118579811,0.0012686114551130724,0.002181149118579811,0.32954334059375245,0.54289871202756812,0.027156763281220672,6.876860776636969e-05,0.007957364780439027
5,inletPGDEM_density_004_0.617733.mdpa,0.28510099999929017,19991.33863153544,0.617732879492438,4.446320868516285,20202.405993468612,-118.42711484551819,-30.89444004310882,-118.30159444577625,20187.285644023734,194.3799744010341,-31.014467750303897,194.48040873729414,19584.32425711397,0.0029884495257984523,-1.2702132116335966e-05,-2.779906440903835e-06,-1.2702132116335966e-05,0.002990165390795146,2.3470607203757778e-05,-2.779906440903835e-06,2.3470607203757778e-05,0.002912078553658379,0.33368320718745687,0.0006871292789241155,0.0002918636032535294,0.0006871292789241155,0.33657808059769584,0.0013647681922870616,0.0002918636032535294,0.0013647681922870616,0.32973871221484663,0.72884996419782389,0.03645828714281773,9.014619339754582e-05,0.006528239881154716
6,inletPGDEM_density_005_0.619390.mdpa,0.31810099999840724,19991.445634042928,0.6193899602301316,4.576899879372738,20206.83895543803,-151.48126314540323,-164.21596291110365,-151.52998500379076,20242.311569101006,96.05563178076092,-164.2169260871934,96.00827103773737,19525.18637758975,0.0030104124888195314,-1.9389125488712117e-05,-1.4787340668596427e-05,-1.9389125488712117e-05,0.0030206058335647537,1.6063935815967824e-05,-1.4787340668596427e-05,1.6063935815967824e-05,0.002931169601598768,0.3325895618934241,-0.0007685714531471648,0.00010276928747367222,-0.0007685714531471648,0.3373283382122377,0.0009681044834917046,0.00010276928747367222,0.0009681044834917046,0.3300820998943369,0.81701770886679159,0.040868365591106265,9.873728027306917e-05,0.0067261532770377845
7,inletPGDEM_density_006_0.620770.mdpa,0.3492509999975738,19991.607797439865,0.6207699619919899,4.674306393244874,20114.53633694558,-104.66991553670736,-212.86978897763754,-104.64404330295628,20316.43480616474,156.03259897175226,-212.92538016717785,156.0919276092259,19543.852249209274,0.0030234953852612684,-1.1906437962034766e-05,-1.8921349093335247e-05,-1.1906437962034766e-05,0.003043764819307587,1.5846269181709373e-05,-1.8921349093335247e-05,1.5846269181709373e-05,0.0029524922690767953,0.3340038616929253,-0.0004253687411076223,0.0016011724891100787,-0.0004253687411076223,0.3359256157141,0.0004956133783669079,0.0016011724891100787,0.0004956133783669079,0.33007052259297204,0.85062638901816245,0.04254917351505335,9.562499848550395e-05,0.005974460545098053
8,inletPGDEM_density_007_0.621943.mdpa,0.37855099999678987,19990.61805395897,0.6219432197037353,4.761761158021713,20148.97352861912,20.125268084379286,-148.4583665396062,20.055312337399556,20262.89268622291,234.40818366824516,-148.5000670107883,234.40554457127575,19559.987947034886,0.0030426384534826254,2.2165056623657058e-07,-1.08458374849557e-05,2.2165056623657058e-07,0.0030455335167834463,2.682393470773658e-05,-1.08458374849557e-05,2.682393470773658e-05,0.0029665524997061006,0.3342362338795023,-0.00011111851515696036,0.000704489735083756,-0.00011111851515696036,0.3360339987195438,0.0006379136539727074,0.000704489735083756,0.0006379136539727074,0.32972976740095383,0.81189110268686027,0.040613606867751256,9.23544356534709e-05,0.0058641731176571074
9,inletPGDEM_density_008_0.622983.mdpa,0.4072009999960233,19990.553495710494,0.6229833551035717,4.806091676718938,20115.288655021035,-25.95264662386527,-198.57502830334695,-25.92704670665849,20181.385893185587,257.9404667684339,-198.55261904853262,257.96286334818603,19674.98593892486,0.003048364564410123,-3.309229600871321e-06,-1.5714759402637506e-05,-3.309229600871321e-06,0.0030564980895915637,3.202463704299837e-05,-1.5714759402637506e-05,3.202463704299837e-05,0.002991901604033421,0.3327890991861732,0.0007873184062095459,0.0009012127118382307,0.0007873184062095459,0.3375853123432746,0.0016784835409909128,0.0009012127118382307,0.0016784835409909128,0.32962558847055695,0.73976801032611306,0.03700587932619525,8.697073738062878e-05,0.007805921936541446
10,inletPGDEM_density_009_0.623981.mdpa,0.4357009999952608,19988.888094827304,0.623980914618084,4.856151990349819,20276.13033706016,32.40199081911736,-105.25579256088456,32.34594006246162,19968.585727454705,302.1875426432284,-104.90288101400688,302.53231089269747,19721.948219967046,0.0030765588435661888,2.5107233869916027e-06,-1.004976640406052e-05,2.5107233869916027e-06,0.0030407991739490733,3.758849027147925e-05,-1.004976640406052e-05,3.758849027147925e-05,0.003005793084823061,0.3343141620909112,0.0005913310756242531,0.0004047056332991316,0.0005913310756242531,0.3352083922777439,0.0027495355275251104,0.0004047056332991316,0.0027495355275251104,0.33047744563134257,0.73607048968562294,0.03682398371503727,9.119525668328834e-05,0.006570476589857784
11,inletPGDEM_density_010_0.624914.mdpa,0.46355099999451566,19991.100849340277,0.624914048824145,4.896260554885404,20349.953279351394,38.67528478917502,-3.4294139993741934,38.7379170139052,19825.986525735098,188.7623710974252,-3.416684306592706,188.7015123906573,19797.362742934336,0.0030888478979934973,3.8833886154919456e-06,8.069247645731107e-07,3.8833886154919456e-06,0.0030375735433166282,2.7421396215058898e-05,8.069247645731107e-07,2.7421396215058898e-05,0.003026657230902215,0.33297155489035035,0.0010941612264812415,0.0007165323925891324,0.0010941612264812415,0.335339264962379,0.002473143494242368,0.0007165323925891324,0.002473143494242368,0.3316891801472694,0.63383545845023437,0.03170588069296601,7.490625216930919e-05,0.0058110210952137375
12,inletPGDEM_density_011_0.625772.mdpa,0.49125099999377453,19990.93415173559,0.62577214648516,4.933956574185766,20389.052907197143,267.17137410116726,1.340669751248427,267.1630232092754,19810.480951722657,257.52102088582495,1.2816156591271688,257.52755745703007,19773.268596286962,0.003102459749062927,2.552522268584061e-05,2.581118849841051e-06,2.552522268584061e-05,0.0030423280159868967,3.672441700825153e-05,2.581118849841051e-06,3.672441700825153e-05,0.0030274476416981286,0.33418594479114677,0.0004897988805501016,0.0008376861760465664,0.0004897988805501016,0.3347664582072891,0.0033349562918770885,0.0008376861760465664,0.0033349562918770885,0.3310475970015632,0.87792748387776043,0.043916281110932466,0.00010369512752935176,0.0069425311879784775
13,inletPGDEM_density_012_0.626576.mdpa,0.5183509999940681,19990.428422806737,0.6265762355812245,4.965922798552473,20353.101122061216,211.87395462360232,33.973464174613945,211.85723344043953,19816.94833377467,336.8289418209092,34.004668334043764,336.8509579133588,19801.235812584317,0.003110759323771506,1.9745288522794243e-05,1.029714999342936e-06,1.9745288522794243e-05,0.0030474990819616696,4.5766015501652664e-05,1.029714999342936e-06,4.5766015501652664e-05,0.003038879976135493,0.3338666112713603,0.0009193050893679544,-0.00034231023405050903,0.0009193050893679544,0.3346982353734738,0.0038879313840482284,-0.00034231023405050903,0.0038879313840482284,0.33143515335516405,0.88013710535231116,0.04402792610228293,0.00010989899279796703,0.007540594872028014
