id,radius,x,y,z
0,0.2109582,2.4446122,3.1898385,0.2087032
1,0.1975551,3.2068278,1.7930175,0.1920858
2,0.2143439,2.1759101,2.1003562,0.2087263
3,0.2078947,2.0294304,3.1946190,0.2030089
4,0.1837671,1.2967608,0.1834120,0.1826434
5,0.2190249,0.2171962,2.8036048,0.2148745
6,0.2104456,0.5708375,1.7270045,0.2065619
7,0.2114426,0.7534853,2.8649187,0.2092510
8,0.1851245,3.2171049,0.1822717,0.1831119
9,0.1980154,1.1328978,2.7172709,0.1946206
10,0.1948319,3.2091132,3.2077739,0.1938168
11,0.2170706,2.5927919,2.7895020,0.2152491
12,0.2057546,0.2101651,1.9351885,0.2014860
13,0.2129105,0.2123340,0.2594104,0.2064931
14,0.1977366,1.6775155,0.1926989,0.1974367
15,0.1890895,0.9441879,3.2139480,0.1862750
16,0.2021834,2.9989560,2.8746250,0.1969819
17,0.1825527,2.8342814,3.2196249,0.1785691
18,0.2131052,0.2093905,1.0965638,0.2116845
19,0.2052666,2.0770328,0.2027907,0.2004484
20,0.2103235,1.4692173,0.5367627,0.2042369
21,0.1941810,0.1911712,3.2105590,0.1919554
22,0.2188279,0.5843746,0.8904031,0.2145417
23,0.2157248,1.0130053,0.9334254,0.2109209
24,0.2111353,1.8889133,0.5738536,0.2105460
25,0.1877855,1.7087019,1.3850059,0.1860678
26,0.1986688,2.0920377,1.3162283,0.1950410
27,0.1817522,2.8515741,0.1813782,0.1792690
28,0.1861716,0.5698476,3.2151505,0.1859003
29,0.2073220,1.7740258,2.2517665,0.2030772
30,0.2097905,2.5319240,1.3639528,0.2083673
31,0.2187004,2.6843979,0.5429890,0.2183281
32,0.1930330,1.3374756,1.3016051,0.1884629
33,0.1948184,0.5535821,0.4800503,0.1944414
34,0.1987822,2.5750530,0.9585291,0.1967966
35,0.1875789,1.0729142,0.5365583,0.1869243
36,0.1851969,3.2167012,0.9329830,0.1815098
37,0.1990282,1.3303468,3.2012913,0.1957166
38,0.1890764,0.1876592,2.3267589,0.1862929
39,0.2067926,2.4323580,1.7677309,0.2044676
40,0.1974861,1.7170816,2.6550515,0.1893858
41,0.2133071,3.1094862,2.1897702,0.2121734
42,0.2080106,3.1099815,0.5568264,0.2067153
43,0.1924947,3.2086789,1.3971696,0.1909964
44,0.2132904,1.6055767,1.8112589,0.2126397
45,0.2121906,3.1058522,3.1886233,0.5861008
46,0.1954991,0.8821174,2.3489104,0.1933538
47,0.1915331,1.4395582,0.9341855,0.1881508
48,0.2072998,2.8292771,1.6542461,0.2054012
49,0.1855901,2.2823359,0.5330194,0.1837686
50,0.1879963,1.2815222,2.0457608,0.1866129
51,0.1802945,2.8650869,2.4990667,0.1801488
52,0.2114770,0.2082632,1.5181975,0.2082915
53,0.2065940,0.2054995,0.6783213,0.2052536
54,0.2082066,2.4929994,2.3786644,0.2065387
55,0.2112292,2.0969467,2.5152366,0.2034311
56,0.1983566,2.2153473,2.8710070,0.3584032
57,0.2027496,0.5256691,2.5214249,0.2000518
58,0.1855919,2.4646756,0.1851231,0.1812370
59,0.1845812,1.6739715,3.0339511,0.1836038
60,0.2067361,1.8287670,1.0101269,0.2039223
61,0.1988438,2.7250262,2.0455366,0.1966983
