id,radius,x,y,z
62,0.2026094,2.0297316,1.7117967,0.1977878
63,0.2106000,0.8513178,0.2080917,0.2069647
64,0.2053887,1.3981266,2.4176879,0.2026078
65,0.2021432,2.6958779,3.2009265,0.5329368
66,0.2023683,1.1941958,1.6687085,0.1985213
67,0.1921580,0.5574986,2.1286117,0.1918989
68,0.1812327,3.2207064,2.5653639,0.1791678
69,0.1974687,2.2541672,1.5336922,0.4808716
70,0.1885834,2.9743735,1.9040274,0.4757626
71,0.1963411,0.1942658,0.9070562,0.5737558
72,0.2141361,0.8244407,0.5220545,0.5017662
73,0.1893576,0.5497534,1.3096026,0.1891531
74,0.1823321,1.3939113,3.2197189,0.5679932
75,0.1912554,2.8906104,1.1850883,0.1881947
76,0.1917438,1.4440045,2.8303619,0.3990030
77,0.2064767,0.9432100,1.3473855,0.1993353
78,0.2022813,2.8279685,2.2638312,0.5142241
79,0.2113559,3.1889558,0.2103956,0.5758744
80,0.2065725,0.5684958,2.7382131,0.5588185
81,0.1962555,0.9346690,2.5801813,0.5051436
82,0.2125608,2.8602152,2.6761442,0.5307960
83,0.1866789,2.6081092,1.6703492,0.5403979
84,0.1809085,3.2224310,2.8244674,0.4990934
85,0.1836019,3.2168938,0.7394889,0.5350818
86,0.2088944,1.5104368,0.3443601,0.5717266
87,0.1984751,2.4566000,2.1086287,0.5058513
88,0.1864509,0.1829042,2.5248614,0.5018359
89,0.2000418,0.5646396,0.1997531,0.4984142
90,0.1860925,1.2608935,0.7480141,0.4602335
91,0.2078528,1.8874375,1.9700060,0.4821024
92,0.1978463,0.9072504,1.9567565,0.1974557
93,0.1952408,1.5495201,2.4978103,0.5644661
94,0.1920605,0.1865299,0.1852163,0.5973050
95,0.2052113,2.2595332,0.3420791,0.5368588
96,0.1944725,1.5691772,1.1661608,0.4660018
97,0.1835060,1.9139393,2.4026233,0.5337404
98,0.1847202,1.1929773,1.1416200,0.4981186
99,0.2184759,2.4160853,0.7320377,0.5066357
100,0.2163432,1.7882936,3.1856730,0.5460494
101,0.2079883,0.2041134,1.7401399,0.5609582
102,0.1906348,0.3500492,0.5233421,0.5396575
103,0.2187671,2.6620237,0.2158299,0.5273981
104,0.2111500,1.1159598,0.2099730,0.5315357
105,0.2086756,0.2567151,2.1500191,0.5937171
106,0.1979745,1.8683826,2.7824134,0.5237037
107,0.1908897,0.3912594,3.2106457,0.5184818
108,0.1838556,2.1998239,0.8926914,0.1822045
109,0.2161041,2.2945117,2.5132508,0.5751762
110,0.1982311,0.7773335,3.2038922,0.5343464
111,0.1880945,1.5191034,2.1127770,0.4693008
112,0.1922383,3.1475568,1.1067385,0.5054753
113,0.2031688,2.8809458,1.3965768,0.5179594
114,0.1870709,3.2166856,1.5912080,0.5153059
115,0.2142646,0.7452961,1.1826396,0.5257113
116,0.2103408,1.6536487,0.7732213,0.4970228
117,0.2087785,0.2077461,1.3117467,0.5735118
118,0.1972837,0.5743091,0.8258319,0.6212148
119,0.2050924,2.5718728,2.3282543,0.8232939
120,0.2033639,2.3158529,1.1385324,0.4760074
121,0.2059939,3.1980507,2.4327466,0.5403542
122,0.1833778,2.0325160,0.8775110,0.5069869
123,0.1966323,1.1053860,3.0020888,0.4626875
124,0.1816646,0.1791534,0.4360027,0.8677956
125,0.1997596,0.1980323,2.8897271,0.6227335
126,0.1931944,1.9405121,1.2403376,0.5471414
127,0.1857810,0.6317429,1.9263489,0.5405970
128,0.1841361,1.1446602,2.2679227,0.4512736
129,0.2035058,2.8473732,0.5765517,0.6315413
130,0.1868237,2.9043278,0.8527699,0.3648104
131,0.2170048,2.3173965,1.8088031,0.7810770
132,0.2032424,2.2053193,3.2000154,0.5821500
133,0.1938748,1.4363108,1.5328993,0.4773562
134,0.2036366,0.3917307,2.4816360,0.8225128
135,0.1809122,1.8015025,1.5923121,0.4746380
136,0.2183424,1.3317874,2.2420810,0.8044383
137,0.1992921,0.8782600,2.8980700,0.7660745
138,0.2113094,0.9722509,0.8691798,0.7004979
139,0.1833092,3.2237056,2.6874043,0.8333283
140,0.1994663,0.8869563,1.6533494,0.4526431
141,0.1996283,2.5089887,2.8621780,0.6258553
142,0.2175131,1.1981233,1.8932261,0.5821052
143,0.2028691,1.2370024,2.6550381,0.7543064
144,0.1989396,3.0240612,1.7266919,0.8166647
145,0.1906790,0.1890107,3.2125814,0.8405900
146,0.1932628,2.9463153,2.4397827,0.8468812
147,0.2008269,0.5966758,0.5355902,0.8853737
148,0.1975565,1.8857375,0.1939121,0.5520223
149,0.1808645,3.2203621,1.3409123,0.7825511
150,0.2130517,2.1467793,2.8340586,0.8155570
151,0.2158464,1.1275362,1.4592616,0.7292920
152,0.1856100,1.7300502,2.1874264,0.7699004
153,0.2021614,1.5877708,1.8128403,0.7089861
154,0.1843430,2.5064699,1.3655647,0.7256992
155,0.2068896,0.5503902,1.5350174,0.6405630
156,0.1912494,1.2088445,0.5288333,0.7567273
157,0.2063769,0.6316958,2.3174108,0.5348869
158,0.2090798,1.1397720,3.1939476,0.8622411
159,0.2107459,0.8458375,0.2103393,0.8539070
160,0.1843096,2.4440516,3.1409694,0.8794908
161,0.2166405,0.5562729,2.1034332,0.8910355
162,0.1892086,1.3701372,0.9430752,0.7590396
163,0.1814965,0.1811282,1.8996295,0.9126444
164,0.2021941,3.1982556,2.0797110,0.7430994
165,0.1948369,1.9401229,0.5569429,0.6819728
166,0.2131916,0.2117236,1.1657334,0.9682810
167,0.2123301,2.8777887,2.8227233,0.9572088
168,0.1926856,2.8111358,3.2133286,0.9054253
169,0.2181160,0.2931379,0.7608500,1.0599434
170,0.1916367,0.9345136,2.1674192,0.7418415
171,0.2006023,0.5772834,3.2014415,0.8778847
172,0.1902386,2.1380470,2.1684101,0.7185735
173,0.2174417,0.6786424,0.9499056,1.0000673
174,0.1865843,1.8384205,2.5821955,0.8472930
175,0.1817964,1.0504402,1.0897663,1.0158025
176,0.1974039,1.5944628,2.4038845,1.0790653
177,0.2196950,2.2091315,0.9800580,0.8520330
178,0.2156671,3.1876867,0.5208769,0.8668722
179,0.2099443,0.7984396,2.5160819,0.8817765
180,0.2156317,0.8713248,1.7820514,0.8433344
181,0.2157379,1.7599867,1.0170588,0.8375286
182,0.2007543,2.4917905,2.6899172,0.9867759
183,0.1926372,2.6854286,1.0617930,0.5923697
184,0.2108805,0.9577896,0.6301649,1.0475006
185,0.2064665,3.1967445,3.1949523,0.9937076
186,0.1949463,2.7202247,1.9652584,0.7528884
187,0.1837787,1.3660594,1.6573513,0.9810414
188,0.2098716,2.8568844,1.2733698,0.9078583
189,0.1904984,2.9787472,0.9119436,0.7876136
190,0.2174725,1.7071082,0.2147948,0.9249165
191,0.1896388,1.3058898,0.1861005,0.8820610
192,0.1849103,0.1809258,2.8780698,1.0049230
193,0.2132445,1.1974097,2.4783065,1.1377252
194,0.1861314,1.6623236,1.3967259,0.7497297
195,0.1871707,3.2157262,2.8440834,1.1673088
196,0.2039753,2.2780855,1.4722957,1.0297543
197,0.2149825,1.5806744,0.6243063,0.8864464
198,0.1878574,1.1090304,2.8623078,1.0743396
199,0.1924129,2.1763076,2.4595545,0.9623299
200,0.2110962,2.8982304,0.2083099,0.8815143
201,0.2188731,2.6599819,1.6417457,0.9989607
202,0.2000296,2.4823206,0.1997049,0.9031685
203,0.1857559,3.2153645,1.0721368,1.0305744
204,0.1805575,0.1771493,1.5425985,0.8906446
205,0.1891862,0.4481023,0.1822265,0.8685126
206,0.1852729,2.0033542,1.5396663,0.7699748
207,0.2071063,2.3344986,2.1126607,1.0722331
208,0.1848733,1.5705936,2.8523432,0.7512828
209,0.2002532,1.3886900,1.2602014,0.9806875
210,0.2077705,1.9788706,3.1974628,0.9243155
211,0.2032447,0.5001840,1.7069530,1.0077642
212,0.1879910,2.8288855,2.1516757,1.0647937
213,0.2121650,3.1918073,2.3044331,1.1328584
214,0.2086163,1.7459925,1.6123432,1.0649088
215,0.2095594,3.1909448,1.5202312,1.1245871
216,0.1852423,1.9325648,1.8909817,0.8611355
217,0.1849502,1.8434300,2.8659561,1.0854191
218,0.2171025,1.5583221,1.9926439,1.0854127
219,0.1959031,0.7788303,1.3364018,0.9026198
220,0.1920379,1.3879762,0.4144899,1.1760636
221,0.1995434,0.1936414,2.2403790,1.0688259
222,0.2065146,1.9315446,2.1867928,1.1162500
223,0.2182249,0.5147531,1.3439293,1.2170115
224,0.1914578,0.5444785,2.8186575,0.9473814
225,0.2169923,2.6024132,0.7962020,0.8917566
226,0.1809944,2.2769928,0.5731455,0.8453371
227,0.2022079,1.3082545,0.8274289,1.1271021
228,0.2053590,0.8862616,2.1994141,1.1329932
229,0.1842359,2.1740316,2.7500119,1.2009202
230,0.1856136,3.2167063,1.9117377,1.0916230
231,0.1967646,1.5771732,3.2042484,0.8961364
232,0.2186493,0.2113620,1.6425485,1.3015491
233,0.2038417,2.8706806,0.9574903,1.1704274
234,0.2173209,2.0942896,1.8005831,1.2138057
235,0.2121744,2.5016322,1.1399269,1.1249930
236,0.1986953,2.7299791,3.2048188,1.2849988
237,0.2113905,2.4047218,2.4474892,1.3069798
238,0.1807135,1.1682304,1.9591085,1.0309601
239,0.1843658,0.4834136,0.9662934,1.3468062
240,0.2131771,0.8376771,2.6511921,1.2800942
241,0.2118727,2.8534203,0.5449915,1.1287418
242,0.1893056,0.1842164,1.1831419,1.3871455
243,0.2012308,2.5075951,2.8794785,1.3398869
244,0.2042406,3.2038821,0.7353363,1.2260880
245,0.2147096,0.8496675,1.8061879,1.2711247
246,0.2041243,1.7428771,3.1981096,1.2590650
247,0.1965029,0.5384848,2.3925975,1.1833003
248,0.1949674,1.3482215,3.2080937,1.2074662
249,0.1970353,1.9510785,0.7125886,1.0394528
250,0.2060772,2.0195825,1.1894456,1.1691115
251,0.2146996,1.0729544,1.4589628,1.1584935
252,0.1981559,1.4964841,2.5699755,1.4222262
253,0.1899136,2.2659295,3.2119536,1.1981416
254,0.1894665,2.8943364,1.8405946,1.2660739
255,0.2098406,0.4406405,2.0027009,1.2883245
256,0.2126628,3.1899291,1.2070030,1.4036223
257,0.1842111,1.7528210,1.8613511,1.4094466
258,0.1826624,1.2928883,2.8887881,1.3941226
259,0.2037773,2.8416002,2.5078622,1.2237418
260,0.1858469,1.4695057,2.7670361,1.0953809
261,0.2129866,0.2124981,3.1881104,1.2499432
262,0.1924134,1.0750646,0.1920694,1.1840093
263,0.1857549,2.1026009,0.2527124,0.8806542
264,0.2168388,0.5967202,0.2147838,1.2418722
265,0.1866213,0.9465211,2.3207245,1.4972444
266,0.1913888,0.1909334,2.2691420,1.4560466
267,0.1861445,2.2331488,0.8700446,1.2409544
268,0.1846196,0.7821165,3.0225001,1.1492366
269,0.1808459,2.5278895,1.8698276,1.2986691
270,0.1822158,1.2801145,2.1436863,1.3284273
271,0.1869857,1.8842225,2.5382523,1.2891346
272,0.1821353,1.6603854,0.6508526,1.2739168
273,0.2036458,0.8964309,0.8988068,1.3564238
274,0.2072286,2.4439003,0.5453906,1.1937472
275,0.1957452,0.6209231,0.6231463,1.2708473
276,0.1927196,0.4921913,2.8579797,1.3249027
277,0.2001810,1.7661497,2.8572905,1.4718607
278,0.2150002,0.5549842,2.4486096,1.5891207
279,0.2140453,1.6304579,1.0585008,1.2451899
280,0.1817390,2.4381989,3.2203390,1.5267999
281,0.1872599,2.5697673,0.8616701,1.4002221
282,0.1894698,1.2906076,2.3343943,1.6469259
283,0.1899755,1.6728113,2.2256893,1.4137035
284,0.2028493,2.8031700,2.1736790,1.4518398
285,0.1966505,0.1942743,0.1942018,1.1572025
286,0.1819702,0.8465112,1.2744054,1.4238385
287,0.1949446,2.1863339,2.6248074,1.5978619
288,0.2009501,1.9076641,1.4890210,1.4190245
289,0.1840669,1.2635507,1.7788899,1.3315464
290,0.2133383,1.7317445,0.2109693,1.3519270
291,0.1820785,0.1793284,0.5178705,1.3491421
292,0.2169937,3.1854803,1.6989858,1.5090543
293,0.1839645,1.0049070,3.2220508,1.3575652
294,0.2137430,1.4752825,1.4449555,1.3387749
295,0.2161061,3.1856981,0.2151290,1.1938029
296,0.2191828,0.2156807,1.9098863,1.6467073
297,0.2120810,1.1046422,0.5474512,1.4312895
298,0.2111791,0.5592012,1.6733954,1.5496685
299,0.2056993,2.7923859,1.3791685,1.3031031
300,0.2111599,1.3403768,0.2089870,1.5191073
301,0.1853821,1.2076326,1.1317080,1.3444640
302,0.2014427,2.0034941,0.5219806,1.3842908
303,0.2005689,2.9101002,2.8703667,1.4003160
304,0.2143029,0.2119214,0.2069813,1.5843726
305,0.1985120,0.6876080,2.0584713,1.6048990
306,0.1954036,0.2067953,2.5901872,1.2457058
307,0.2055825,2.6734297,2.6002010,1.5830546
308,0.1906585,1.4935575,3.2101187,1.5635252
309,0.1855907,0.4848062,1.2298195,1.6031249
310,0.1991151,1.1464820,3.0878934,1.6846889
311,0.1966756,2.1374713,2.9952538,1.4880879
312,0.1893028,0.5595773,3.2119284,1.4505695
313,0.1947005,1.8298547,2.0665202,1.7263756
314,0.1946557,2.9507300,1.4031510,1.6667556
315,0.1930998,1.2510758,1.6900548,1.9011750
316,0.1951786,0.1929986,0.8344136,1.5486327
317,0.2074297,0.8950059,0.2034960,1.5382027
318,0.1918751,2.7119698,1.6837203,1.5606133
319,0.2179543,1.4122001,0.8243748,1.5335739
320,0.2166539,3.1842874,3.1837309,1.4158011
321,0.1992364,2.0692757,2.2658285,1.4881832
322,0.1931344,2.2605957,1.1529654,1.4875725
323,0.2014174,0.4503320,0.5422793,1.6184063
324,0.2139424,2.3554073,1.5428048,1.4331606
325,0.2061035,1.1122230,1.5133341,1.5729446
326,0.2121757,2.8457040,3.1897986,1.6776597
327,0.2013089,1.5589109,2.2761076,1.9247107
328,0.2053167,0.2304688,3.1964173,1.6674470
329,0.1915262,1.7986879,2.4930067,1.6548911
330,0.2093957,2.2212332,0.2033131,1.2524133
331,0.1880962,0.1816097,2.8291978,1.5406286
332,0.2077919,2.4434934,2.8983087,1.7425746
333,0.2144288,1.9342713,0.9107893,1.5034093
334,0.1852841,1.0583691,1.9738279,1.5671674
335,0.2045752,0.8331495,0.5520028,1.7454302
336,0.1838038,2.1716499,1.8530797,1.6002179
337,0.2090286,1.9608935,2.8698188,1.8301665
338,0.1833797,3.2177140,2.5738064,1.4187569
339,0.2174376,0.4751006,2.0584156,1.9603273
340,0.1854963,2.8502540,1.0590345,1.5433073
341,0.2183552,0.2129068,2.3840269,1.8460652
342,0.2120354,1.4475925,1.9652769,1.6368423
343,0.2037473,3.2005088,2.1167049,1.5012733
344,0.2113050,1.3876213,1.2212585,1.6856400
345,0.2118046,1.6311993,0.4792166,1.6618360
346,0.2178411,2.8302035,2.8271409,1.9037313
347,0.1901353,0.9649019,1.0667517,1.7054951
348,0.2036030,2.6657115,0.2016077,1.2606319
349,0.1838020,1.6361320,1.6186842,1.6570637
350,0.2046466,2.3679971,0.5903105,1.5951414
351,0.1868517,2.1231053,1.4089883,1.7299342
352,0.2025980,2.0452344,0.2013059,1.6239388
353,0.2028972,0.5408024,0.2022049,1.8384809
354,0.1986394,0.7757588,1.4097931,1.7717618
355,0.2009053,0.2002190,3.1999341,2.0717940
356,0.2105569,1.0735488,2.6694366,1.6311594
357,0.2119698,3.1901044,0.4313841,1.5608852
358,0.1996861,2.1928583,3.2054585,1.8183403
359,0.2039837,1.9468730,1.7205972,1.8839538
360,0.2172494,1.2423073,0.5232451,1.8366727
361,0.1847893,1.8616666,3.2164532,1.6265441
362,0.1846841,2.4438135,0.9423226,1.7404842
363,0.1835084,2.8874356,0.1805156,1.5759428
364,0.2063145,3.1946721,2.8513030,1.6894506
365,0.1967443,0.1953526,0.4009493,1.9443090
366,0.2109729,2.7788502,0.5567040,1.5437621
367,0.2068493,1.4469438,3.1940981,1.9573910
368,0.1933455,1.7881742,1.2372940,1.6969550
369,0.2159347,2.0158285,0.5728745,1.8205655
370,0.2105013,3.1742942,0.8465475,1.6214115
371,0.1908214,0.6324974,0.8841213,1.6782161
372,0.1945677,3.2063911,0.1928454,1.8889629
373,0.1925776,2.4264706,2.1238378,1.5519589
374,0.1863045,2.5555419,3.2140464,1.9493678
375,0.1859113,0.8214552,2.9573187,1.5312777
376,0.2174451,1.8663113,2.0803484,2.1357247
377,0.1975162,2.5768053,1.2925169,1.6684669
378,0.1953328,1.5460113,1.4529333,1.9822748
379,0.2091874,0.3545720,0.7723918,1.9426166
380,0.2021197,3.0132011,2.4128813,1.7009141
381,0.2174456,0.5820084,3.1858210,1.9017453
382,0.2112121,0.8648162,1.7986856,1.8648288
383,0.1991748,3.2008512,3.2020188,1.8901317
384,0.1950544,1.4745120,0.1919659,1.9020125
385,0.2194653,2.0785674,1.0221210,1.8939636
386,0.2087104,2.9424248,1.9360104,1.7654840
387,0.2180478,2.4200054,1.6555531,1.8450770
388,0.1847391,1.2367315,0.9162310,1.9112204
389,0.2140213,2.0655100,2.4820340,1.9593081
390,0.2054830,1.6972681,0.8463816,1.8438564
391,0.1848769,2.9669389,0.4852088,1.8837468
392,0.2035303,2.7984578,0.8322543,1.8518491
393,0.2074439,0.2054826,1.4882513,1.6963894
394,0.1804921,2.3631940,1.2857259,1.9769014
395,0.1981727,1.0374421,3.2070096,2.0436515
396,0.2130160,1.8697869,0.2116137,1.9979763
397,0.1918144,2.1318593,0.1891940,2.3044447
398,0.1983419,2.4436285,0.1963861,1.5936237
399,0.1976926,3.2063936,1.5790228,1.9032559
400,0.1920771,0.5169492,2.8344550,1.7080469
401,0.2167377,0.8532276,2.8504876,1.9472420
402,0.2112518,1.1692890,2.0831389,1.9313304
403,0.1844235,2.6654893,2.2797504,1.7967606
404,0.2198814,2.2644894,2.9338971,2.1273401
405,0.2151680,1.1108506,1.3179162,1.9872744
406,0.1913563,2.9222265,1.7365620,2.1112647
407,0.2134759,0.8628942,2.3908591,1.8806871
408,0.1842568,0.6348522,0.4931537,2.0745292
409,0.2199642,1.4576918,2.8196869,1.7539231
410,0.2066274,2.8457254,1.3526322,2.0488473
411,0.2060050,0.3724949,2.9043687,2.2900036
412,0.1836176,0.8323572,2.0884301,2.1344839
413,0.2158813,3.1873539,2.1846888,2.0041199
414,0.1811600,2.3267574,0.3478489,1.9212750
415,0.1896331,0.8413284,0.8546023,1.9941074
416,0.1857209,1.8675848,0.4558500,2.3118489
417,0.2110707,1.4842713,2.4601805,2.2860656
418,0.1879282,0.1873316,2.1124167,2.2397246
419,0.2164255,2.2370153,2.0919668,1.9125125
420,0.2062508,2.2162075,1.8938412,2.2849512
421,0.1814465,2.0480898,0.7423360,2.1774581
422,0.1802172,1.6148308,0.5056136,2.0519553
423,0.1820663,1.3182208,1.3030051,2.3196010
424,0.2042370,0.5280191,2.5968286,2.0192703
425,0.2120593,0.4911129,1.6308323,1.9660102
426,0.1895421,1.5129919,1.0886621,2.0912542
427,0.2139764,3.1893328,1.1684317,1.8936839
428,0.1822893,1.7005990,2.6238472,2.0028291
429,0.2120386,2.7816111,3.1885505,2.2759262
430,0.2171118,0.3475160,0.2157428,2.2795663
431,0.2108843,1.8607381,1.6795565,2.2859908
432,0.2079248,0.5788189,0.8154129,2.2895863
433,0.2135192,2.4108488,0.8867031,2.1321763
434,0.1816061,1.6798866,1.3331479,2.3144287
435,0.1880713,1.8503641,3.2123560,1.9970305
436,0.1849969,1.5893207,1.8332010,1.9830600
437,0.2001812,0.9906395,0.5616224,2.2022105
438,0.2098075,0.9373445,0.2085180,1.9489766
439,0.2052005,3.1690889,1.4850847,2.2917716
440,0.2140452,2.8640362,2.4476336,2.1026121
441,0.1862085,2.8341517,0.9923600,2.2031841
442,0.2093848,3.1932857,0.7689494,2.0311462
443,0.1877217,2.4588966,2.5545324,1.9346134
444,0.1908304,0.1897063,1.1104896,1.8136100
445,0.2083962,0.5570943,1.1351688,1.9774963
446,0.2192082,0.8524850,2.5579090,2.2795542
447,0.2044617,2.6237694,1.9752989,2.0241317
448,0.1821800,2.6143310,0.5612874,2.0530773
449,0.2046524,0.2042384,1.7248334,2.2916560
450,0.1816940,3.2203237,0.4147136,2.1920745
451,0.2153658,1.1076789,1.8428035,2.2809780
452,0.2083831,1.1927977,2.6078328,2.0261082
453,0.1869251,1.3622126,0.5742425,2.3088570
454,0.1836688,1.6629084,3.2173445,2.3145744
455,0.1873413,1.8744708,2.5189246,2.3101801
456,0.2192011,2.5609369,1.6488185,2.2795118
457,0.1983424,0.5873438,1.8478880,2.2994638
458,0.2113632,2.6922052,0.2053141,1.9170606
459,0.2054563,1.6836346,0.7985210,2.2920576
460,0.2028965,0.8291478,1.5475729,2.1908269
461,0.1858052,3.2167668,2.5862050,1.9770879
462,0.2178410,0.8543173,1.1386868,2.2821200
463,0.1920537,0.7544634,0.1919479,2.3047316
464,0.2031207,3.1991980,1.0798845,2.2978300
465,0.2079910,0.7332612,3.1049058,2.2896634
466,0.2059693,1.1620410,0.2054757,2.2933564
467,0.2176238,0.2125787,2.5138812,2.2802793
468,0.1859376,2.5063328,0.1850210,2.2670099
469,0.2003341,3.2006057,2.7958666,2.2974730
470,0.1961614,0.1960001,2.7989116,1.9233079
471,0.1989667,1.1331999,2.2541186,2.2997102
472,0.1847687,2.0488288,3.2187544,2.3123743
473,0.1853638,1.9115243,1.3632874,2.0318888
474,0.1911230,3.2152822,1.8771884,2.3064188
475,0.1921882,2.4687097,2.6285322,2.3059429
476,0.1971161,2.3298241,0.5223999,2.2997297
477,0.2044395,0.2039505,0.6112051,2.2916002
478,0.2053852,1.4766174,2.0440513,2.2909993
479,0.1964724,0.5490475,2.2764519,2.3015289
480,0.1963513,2.1779269,2.2918798,2.3020661
481,0.1887051,2.9050797,2.0862444,2.2751827
482,0.2035322,3.1965979,3.1980732,2.2923111
483,0.1926816,1.4616253,1.6472965,2.3047754
484,0.1814424,1.2999128,3.2204168,2.3154786
485,0.1967360,0.1922362,1.3823332,2.0856692
486,0.1989653,1.9751168,1.0943123,2.2975341
487,0.1890237,2.8124626,2.7905535,2.3075740
488,0.2028983,1.0900971,2.9016166,2.2945925
489,0.2026309,1.8565247,2.8963381,2.2263786
490,0.2080801,0.2186741,1.0224254,2.2680965
491,0.2059179,2.1956158,1.4333198,2.2908078
492,0.2060973,1.5713692,0.2043684,2.2904935
493,0.1926486,0.5069993,1.3546053,2.3071175
494,0.2114973,2.9011712,0.2080555,2.2844750
495,0.2019658,2.5505464,1.2333740,2.3014762
496,0.1972567,2.5639127,2.2540808,2.3020306
497,0.2050405,2.9103455,0.6218746,2.2930548
498,0.1944263,1.4660473,2.8602473,2.1781032
499,0.2005096,1.2188031,0.9338716,2.2952630
