density,MCN,trace_sigma,trace_K,trace_Fabric,q,q_over_p,kd,a,orientation,series_id
0.5991148605870608,3.641133896260555,4990.28005335854,0.0010742495563864998,0.3333333333333333,216.92306811713436,0.0434691171232247,3.5247136856975456e-05,0.009103883323770868,vertical,vertical_1
0.605750976748571,3.684258142340169,4990.753001442782,0.0011088000833155665,0.3333333333333333,197.92213142381226,0.03965776935195846,3.8405048336208993e-05,0.005819330572095864,vertical,vertical_1
0.6082472169040852,3.7943305186972256,4990.477742490025,0.0011233145345923333,0.33333333333333376,225.90331491117743,0.045266871543737576,4.4874366260459086e-05,0.008276339289745731,vertical,vertical_1
0.6097053139685661,3.9062123039807,4990.249584722348,0.0011325305461201667,0.3333333333333322,212.08013854536293,0.04249890410184019,4.246065449675224e-05,0.007241755749616096,vertical,vertical_1
0.610780365020288,4.0060313630880575,4990.477657860051,0.0011416630181011334,0.3333333333333339,127.14646007549833,0.025477813706918696,2.8283612609190806e-05,0.006406610459343841,vertical,vertical_1
0.6116589171927592,4.115199034981906,4990.53656874199,0.0011508860275516333,0.3333333333333337,170.17665115637104,0.03409987058751661,3.374599816288757e-05,0.007774285455294832,vertical,vertical_1
0.6124267030031709,4.145958986731001,4990.474886330675,0.0011527514307168,0.33333333333333437,194.4659329036666,0.03896742040248012,3.957272162874279e-05,0.008606526645496297,vertical,vertical_1
0.613106214652366,4.195416164053076,4990.62711304069,0.0011570920936029,0.3333333333333332,163.1510196742198,0.03269148665663685,3.6805778172165625e-05,0.008729459269088295,vertical,vertical_1
0.6137330155196399,4.2554282267792525,4990.30148708568,0.0011597847749287,0.3333333333333323,164.1690396922344,0.032897619536031,3.4490210966963364e-05,0.005667227372515471,vertical,vertical_1
0.6143136524153023,4.333534378769602,4990.157856046583,0.0011658713379689666,0.333333333333334,161.9055220007864,0.03244497001324421,3.424727825448641e-05,0.0057377209524124935,vertical,vertical_1
0.6148444876966108,4.357358262967431,4990.234179173811,0.0011675193713271666,0.33333333333333237,137.7208020853864,0.027598063966646876,2.9781628776476644e-05,0.006323332303652545,vertical,vertical_1
0.6153459887124129,4.403196622436671,4989.861850368869,0.0011710649999995,0.33333333333333287,145.18559779132133,0.02909611571322133,3.3091291932401815e-05,0.006698810323123514,vertical,vertical_1
0.615831300750778,4.432448733413752,4990.152656234742,0.0011732727364128,0.33333333333333437,153.84499658152689,0.0308297174815507,3.0206058846720227e-05,0.007646604465369334,vertical,vertical_1
0.6162976218856925,4.471652593486128,4990.399557635468,0.0011764900912917666,0.3333333333333325,144.04374919960318,0.02886417160309573,2.7860657286266777e-05,0.006564662061263278,vertical,vertical_1
0.6167355957316017,4.508745476477684,4990.5820146037395,0.0011802044748963,0.3333333333333333,127.02225546313377,0.025452393146016567,2.4390280943051373e-05,0.004573106220812642,vertical,vertical_1
0.6171479292270475,4.526839565741858,4990.273622558364,0.0011814065096596332,0.33333333333333265,128.53101091303472,0.025756305291961268,2.2377900943455293e-05,0.005253106873455786,vertical,vertical_1
0.6175414369850025,4.537997587454765,4990.558729914726,0.0011827734708982,0.33333333333333254,140.99043435910005,0.028251432753203798,2.3289637892454455e-05,0.00414498624506961,vertical,vertical_1
0.6179190852669393,4.578407720144753,4990.457867188255,0.0011850740996112,0.3333333333333327,129.75780956334384,0.02600118326145744,2.1946710681580394e-05,0.004927791492246295,vertical,vertical_1
0.6182767192037812,4.606453558504222,4990.289563883263,0.0011867345719235667,0.3333333333333332,137.62574500180284,0.02757870925924937,2.3771262798438955e-05,0.0050546722092418145,vertical,vertical_1
0.6186080885293884,4.648069963811822,4990.199955004825,0.0011880727544824334,0.3333333333333333,117.06333556988227,0.02345864627177431,2.2601864037738316e-05,0.005313624215527638,vertical,vertical_1
0.6189244504106145,4.658926417370326,4990.158704949048,0.0011885152450859,0.33333333333333387,119.15087446497363,0.02387717135064349,2.3758010176909017e-05,0.003983450019757069,vertical,vertical_1
0.6192342259158705,4.642641737032569,4990.051806988403,0.0011879782614878335,0.3333333333333342,146.63600892264918,0.029385668645221335,2.8619723791548982e-05,0.004819263835848447,vertical,vertical_1
0.6195315949872554,4.661942098914355,4990.463325382219,0.0011898078581958334,0.33333333333333304,121.36387774750013,0.02431916033331532,2.617839782388359e-05,0.004969828810296927,vertical,vertical_1
0.6198343942984756,4.671592279855247,4990.80661014951,0.0011911785051119002,0.33333333333333415,114.59478521164621,0.022961175249427927,2.5041501892328444e-05,0.003619998801194036,vertical,vertical_1
0.6201368915290497,4.689083232810615,4990.418122217811,0.0011937890603015667,0.3333333333333332,126.45072774140623,0.025338704021299473,2.6118101988101195e-05,0.004318902453170395,vertical,vertical_1
0.6204341935424055,4.71562123039807,4990.221935561688,0.0011948055360034666,0.3333333333333333,129.0469851770208,0.025859969124298186,2.6422736631364768e-05,0.003744452724070305,vertical,vertical_1
0.620719604738364,4.7325090470446325,4990.167838884586,0.0011958933817678334,0.33333333333333326,104.64280210331009,0.020969796103431283,2.337700019989381e-05,0.004694798753433508,vertical,vertical_1
0.6209911330949047,4.729493365500603,4990.337258825629,0.0011965289754017332,0.33333333333333387,107.98078961128914,0.021637974351396874,2.1164219905338902e-05,0.0042010739784044335,vertical,vertical_1
0.6212535473547139,4.733715319662244,4990.396000031342,0.0011961729700556666,0.33333333333333365,114.11678273353193,0.02286728001802166,2.1896775946029745e-05,0.004863053175169995,vertical,vertical_1
0.6215008843733498,4.737937273823884,4990.175824144945,0.0011966140075494666,0.3333333333333332,103.2060341431051,0.020681843241623497,1.976872247701029e-05,0.004035604635327016,vertical,vertical_1
0.6217413374300343,4.735826296743064,4990.50996501391,0.0011967235370091334,0.33333333333333326,92.35531481664896,0.018506187837336888,1.8750558668489486e-05,0.0038886786179964886,vertical,vertical_1
0.6219780604053344,4.739746682750302,4990.392111915727,0.0011977564269951332,0.33333333333333287,76.32071906552369,0.015293531520958073,1.6723456013363432e-05,0.0040094063245671024,vertical,vertical_1
0.6222137691812571,4.754221954161641,4990.476257753103,0.0011993538827752333,0.3333333333333326,72.29946554138552,0.014487488128825887,1.6545696030561012e-05,0.004093017200794327,vertical,vertical_1
0.622453096013605,4.746381182147165,4990.605253747278,0.0012000592266101665,0.33333333333333376,76.27450225041207,0.015283617591902327,1.5676954498750167e-05,0.0038779806343225923,vertical,vertical_1
0.6226857955466638,4.7789505428226775,4990.402326411292,0.0012020197557805667,0.3333333333333332,100.45202486473953,0.02012904337053257,1.99884785129341e-05,0.00476372638775649,vertical,vertical_1
0.6229064239223727,4.795536791314837,4990.355445116083,0.0012029865112556332,0.3333333333333327,96.39156782302794,0.019315571582654217,1.937387256537371e-05,0.004891337360114733,vertical,vertical_1
0.6231175898706712,4.814535585042219,4990.179450881521,0.0012037822859578666,0.33333333333333265,86.54623267489724,0.017343310701904466,1.5640395028341397e-05,0.003793479200425812,vertical,vertical_1
0.6233197687409837,4.825392038600723,4990.402457504966,0.0012051138857578335,0.3333333333333323,64.68353351196009,0.01296158657798908,1.0211474871955204e-05,0.003979620103486672,vertical,vertical_1
0.6235186797328078,4.838962605548854,4990.123089214474,0.0012061387249862,0.33333333333333187,74.73642447499678,0.014976869936641483,1.0711862824350563e-05,0.0032932007865712504,vertical,vertical_1
0.6237168088391847,4.840168878166466,4990.403543326364,0.0012072445502850334,0.33333333333333365,79.05916120605666,0.015842238111541496,1.3053510156121302e-05,0.004429048251489148,vertical,vertical_1
0.6239142649315584,4.861881785283474,4990.57410970585,0.0012078283322990333,0.3333333333333321,86.21234041182824,0.017275034598556376,1.550038047793902e-05,0.004280709598181653,vertical,vertical_1
0.6241097258585444,4.865802171290712,4990.662173051044,0.0012066104276726333,0.33333333333333354,95.0355709441009,0.019042677634499322,1.5462526767829987e-05,0.0032238680072760348,vertical,vertical_1
0.6243069315446791,4.86248492159228,4990.4149445529665,0.0012067656686131,0.3333333333333335,110.62009239468382,0.02216651192811643,2.067144514223353e-05,0.003461249441732032,vertical,vertical_1
0.6245002375702835,4.884499396863691,4990.434073720694,0.0012084037096141002,0.333333333333332,110.36869040864872,0.022116050182857474,2.1026493103383214e-05,0.00411298619934256,vertical,vertical_1
0.6246897995917979,4.890229191797347,4990.3861774551815,0.0012100596230928667,0.3333333333333332,131.0807500114412,0.026266654593509853,2.3995070404369925e-05,0.004042479046806028,vertical,vertical_1
0.6248746284152766,4.896562123039807,4990.333176426934,0.0012109080429443667,0.33333333333333215,129.15554107047274,0.02588114590836754,2.1923750329416505e-05,0.0032239471526288722,vertical,vertical_1
0.6250557415412736,4.91344993968637,4990.19892328644,0.0012118504934950666,0.33333333333333215,136.3020827145644,0.027313957782027398,2.4831046626158202e-05,0.003944959731538932,vertical,vertical_1
0.6252321200351741,4.931845597104946,4990.310441866205,0.0012123859250148998,0.33333333333333376,132.49703050775273,0.02655085932052824,2.521587924976915e-05,0.004627474806202036,vertical,vertical_1
0.6254033569834905,4.943003618817853,4990.428735530656,0.0012125541672719999,0.33333333333333465,145.90946680718977,0.029237862023426837,2.6949536190758676e-05,0.005295044988277127,vertical,vertical_1
0.6255700825306163,4.961399276236429,4990.423765457045,0.0012128833289002333,0.3333333333333322,153.69646421933277,0.030798279152803882,2.7831955369402707e-05,0.004270267477288839,vertical,vertical_1
0.625729610351673,4.97074788902292,4990.306126512471,0.0012142415819535,0.3333333333333328,160.646823356234,0.032191777274494335,2.6971634471173164e-05,0.005032959494419132,vertical,vertical_1
0.6258858776664132,4.981604342581424,4990.6434915768195,0.0012146575979054,0.3333333333333339,152.83146205704816,0.030623598402690206,2.6899630127336263e-05,0.0050239722294784525,vertical,vertical_1
0.6260381823262716,4.971351025331725,4990.55865415043,0.0012148390404534666,0.333333333333333,158.82662138086278,0.03182541923413196,2.7137514913680468e-05,0.0037638667299793906,vertical,vertical_1
0.6261879116125959,4.9822074788902295,4990.538454728451,0.0012145202272334332,0.3333333333333341,158.10962192423796,0.03168187628620149,2.627167059641731e-05,0.0032137875463872883,vertical,vertical_1
0.6263328946422154,4.969541616405308,4990.402767922046,0.0012136396744868666,0.33333333333333304,138.2998550261866,0.027713164940346743,2.3120604979668774e-05,0.0030884471632744597,vertical,vertical_1
0.6264723301104184,4.979794933655006,4990.380081997994,0.0012135115374265666,0.3333333333333328,131.59136703873628,0.02636900694466766,2.2474095831138115e-05,0.0019118553191358704,vertical,vertical_1
0.6266043937472109,5.001809408926418,4990.384404991189,0.0012146061361956,0.3333333333333341,128.7215253858273,0.02579390983529947,2.151010528512918e-05,0.00303901958288405,vertical,vertical_1
0.6267285506924717,4.993968636911943,4990.44074009513,0.0012153997668857,0.3333333333333334,117.1483230215772,0.023474544458641153,1.9977424231224733e-05,0.00302571637169644,vertical,vertical_1
0.6268509351598555,5.003618817852835,4990.54405956567,0.0012153629587312667,0.33333333333333365,125.94054379436156,0.025235834468381037,2.2087641138577e-05,0.0030084590273606175,vertical,vertical_1
0.6269701048141458,5.018094089264173,4990.130994927115,0.0012166993723454666,0.333333333333333,122.31278113510545,0.02451093593724225,2.184849483037604e-05,0.003137511115015959,vertical,vertical_1
0.6270879039390622,5.022617611580217,4990.356796534487,0.0012173171211698,0.33333333333333365,132.60540801988137,0.0265723300810812,2.5079159388836996e-05,0.004648883205766808,vertical,vertical_1
0.6272052057591271,5.030458383594692,4990.567979790349,0.0012176422818236667,0.3333333333333334,135.24535557233912,0.02710019302813318,2.623841668323869e-05,0.005007949060069769,vertical,vertical_1
0.627319460950078,5.038600723763571,4990.19678900266,0.0012184818866985,0.333333333333331,131.52091976749293,0.02635585836160555,2.679914722203575e-05,0.0046115455041909085,vertical,vertical_1
