combination,features,trial,hidden_sizes,learning_rate,batch_size,dropout,physical_loss_weight,cv_K_rmse,cv_K_mae,cv_K_r2,final_epochs
03_MCN,MCN,trial_028_h32x16_lr0.001_b16_d0.1_w1,32x16,0.001,16,0.1,1.0,5.239925685843084e-05,3.4073102208273695e-05,0.9998190562030435,1183
12_density+MCN,"density,MCN",trial_048_h64x32_lr0.001_b32_d0.1_w1,64x32,0.001,32,0.1,1.0,5.27401144932944e-05,2.837522493228171e-05,0.9998166944643436,730
03_MCN,MCN,trial_019_h32x16_lr0.0003_b16_d0.1_w0.25,32x16,0.0003,16,0.1,0.25,5.275864494123131e-05,3.066322792176289e-05,0.9998165656314639,2231
03_MCN,MCN,trial_031_h32x16_lr0.001_b32_d0.1_w0.25,32x16,0.001,32,0.1,0.25,5.296155248356849e-05,3.120935494987983e-05,0.9998151519563917,2216
03_MCN,MCN,trial_043_h64x32_lr0.001_b16_d0.1_w0.25,64x32,0.001,16,0.1,0.25,5.300219267990918e-05,3.20328171622614e-05,0.9998148681602147,1629
12_density+MCN,"density,MCN",trial_035_h64x32_lr0.0003_b16_d0.1_w0.25,64x32,0.0003,16,0.1,0.25,5.309916395201779e-05,2.829497625953035e-05,0.9998141901168447,892
03_MCN,MCN,trial_027_h32x16_lr0.001_b16_d0.1_w0.25,32x16,0.001,16,0.1,0.25,5.3230968322033725e-05,3.193341773234421e-05,0.9998132665260244,1320
17_MCN+q_over_p,"MCN,q_over_p",trial_036_h64x32_lr0.0003_b16_d0.1_w1,64x32,0.0003,16,0.1,1.0,5.323304127551674e-05,3.1904060051406174e-05,0.999813251981959,932
03_MCN,MCN,trial_020_h32x16_lr0.0003_b16_d0.1_w1,32x16,0.0003,16,0.1,1.0,5.3274959178995045e-05,3.187426599013243e-05,0.9998129577599012,2251
12_density+MCN,"density,MCN",trial_025_h32x16_lr0.001_b16_d0_w0.25,32x16,0.001,16,0.0,0.25,5.353946826400867e-05,3.754834867630529e-05,0.9998110958273094,1750
12_density+MCN,"density,MCN",trial_043_h64x32_lr0.001_b16_d0.1_w0.25,64x32,0.001,16,0.1,0.25,5.3590556642668117e-05,2.6439247547837316e-05,0.9998107351433987,418
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_048_h64x32_lr0.001_b32_d0.1_w1,64x32,0.001,32,0.1,1.0,5.40018528337279e-05,3.6299912635336145e-05,0.9998078188597357,874
17_MCN+q_over_p,"MCN,q_over_p",trial_043_h64x32_lr0.001_b16_d0.1_w0.25,64x32,0.001,16,0.1,0.25,5.4149494073504134e-05,3.2828385334006475e-05,0.9998067665755108,386
12_density+MCN,"density,MCN",trial_038_h64x32_lr0.0003_b32_d0_w1,64x32,0.0003,32,0.0,1.0,5.433716437046608e-05,3.6884666295540844e-05,0.9998054248449324,1258
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_028_h32x16_lr0.001_b16_d0.1_w1,32x16,0.001,16,0.1,1.0,5.4381444889032704e-05,3.61515768357866e-05,0.9998051075887965,418
12_density+MCN,"density,MCN",trial_027_h32x16_lr0.001_b16_d0.1_w0.25,32x16,0.001,16,0.1,0.25,5.482036060029794e-05,3.5027857267799136e-05,0.9998019489178213,282
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_020_h32x16_lr0.0003_b16_d0.1_w1,32x16,0.0003,16,0.1,1.0,5.563008690979291e-05,3.840670001469334e-05,0.9997960550665247,1072
12_density+MCN,"density,MCN",trial_045_h64x32_lr0.001_b32_d0_w0.25,64x32,0.001,32,0.0,0.25,5.564069007180519e-05,3.036134931224083e-05,0.9997959773148125,1518
03_MCN,MCN,trial_047_h64x32_lr0.001_b32_d0.1_w0.25,64x32,0.001,32,0.1,0.25,5.5783327129948026e-05,3.333166423473666e-05,0.9997949299339626,618
12_density+MCN,"density,MCN",trial_020_h32x16_lr0.0003_b16_d0.1_w1,32x16,0.0003,16,0.1,1.0,5.599141482350776e-05,3.5121292013778526e-05,0.9997933971409345,740
12_density+MCN,"density,MCN",trial_040_h64x32_lr0.0003_b32_d0.1_w1,64x32,0.0003,32,0.1,1.0,5.6034910561040596e-05,2.723507204602522e-05,0.9997930760261998,1435
17_MCN+q_over_p,"MCN,q_over_p",trial_012_h16x8_lr0.001_b16_d0.1_w1,16x8,0.001,16,0.1,1.0,5.6422688778170813e-05,3.392871931762442e-05,0.9997902021658418,2252
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_040_h64x32_lr0.0003_b32_d0.1_w1,64x32,0.0003,32,0.1,1.0,5.6725566434773316e-05,4.166598831368741e-05,0.9997879437259221,1650
12_density+MCN,"density,MCN",trial_047_h64x32_lr0.001_b32_d0.1_w0.25,64x32,0.001,32,0.1,0.25,5.682814224750933e-05,3.444320326710134e-05,0.9997871761174957,505
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_027_h32x16_lr0.001_b16_d0.1_w0.25,32x16,0.001,16,0.1,0.25,5.691902051268048e-05,3.4301814181288065e-05,0.9997864948870574,346
17_MCN+q_over_p,"MCN,q_over_p",trial_044_h64x32_lr0.001_b16_d0.1_w1,64x32,0.001,16,0.1,1.0,5.6994990690801344e-05,3.810947777933926e-05,0.9997859245734506,889
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_044_h64x32_lr0.001_b16_d0.1_w1,64x32,0.001,16,0.1,1.0,5.7971484612613654e-05,4.266564536509015e-05,0.9997785262348295,496
03_MCN,MCN,trial_048_h64x32_lr0.001_b32_d0.1_w1,64x32,0.001,32,0.1,1.0,5.865162870742044e-05,3.534541528342571e-05,0.9997732989157972,610
12_density+MCN,"density,MCN",trial_036_h64x32_lr0.0003_b16_d0.1_w1,64x32,0.0003,16,0.1,1.0,5.8923399560204386e-05,3.146326927452822e-05,0.9997711931434762,920
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_047_h64x32_lr0.001_b32_d0.1_w0.25,64x32,0.001,32,0.1,0.25,5.8954269476000994e-05,4.017271680180802e-05,0.9997709533372647,567
17_MCN+q_over_p,"MCN,q_over_p",trial_027_h32x16_lr0.001_b16_d0.1_w0.25,32x16,0.001,16,0.1,0.25,5.901372717994295e-05,3.752078872090715e-05,0.999770491099119,1404
16_MCN+q,"MCN,q",trial_028_h32x16_lr0.001_b16_d0.1_w1,32x16,0.001,16,0.1,1.0,5.945576983905894e-05,3.683165719323462e-05,0.999767039946453,1722
17_MCN+q_over_p,"MCN,q_over_p",trial_028_h32x16_lr0.001_b16_d0.1_w1,32x16,0.001,16,0.1,1.0,6.010254036528326e-05,3.8865211528616266e-05,0.9997619440166988,1404
12_density+MCN,"density,MCN",trial_039_h64x32_lr0.0003_b32_d0.1_w0.25,64x32,0.0003,32,0.1,0.25,6.074294886011525e-05,3.211728475954391e-05,0.9997568438899165,1307
12_density+MCN,"density,MCN",trial_030_h32x16_lr0.001_b32_d0_w1,32x16,0.001,32,0.0,1.0,6.109105498163497e-05,4.262545431889684e-05,0.9997540489426316,2874
17_MCN+q_over_p,"MCN,q_over_p",trial_004_h16x8_lr0.0003_b16_d0.1_w1,16x8,0.0003,16,0.1,1.0,6.189789070321479e-05,3.653522393623481e-05,0.9997475094411838,2838
17_MCN+q_over_p,"MCN,q_over_p",trial_011_h16x8_lr0.001_b16_d0.1_w0.25,16x8,0.001,16,0.1,0.25,6.196602603757048e-05,3.615436978258319e-05,0.9997469532672331,1222
03_MCN,MCN,trial_040_h64x32_lr0.0003_b32_d0.1_w1,64x32,0.0003,32,0.1,1.0,6.221661707237906e-05,3.510865468681748e-05,0.999744902483459,1323
03_MCN,MCN,trial_039_h64x32_lr0.0003_b32_d0.1_w0.25,64x32,0.0003,32,0.1,0.25,6.25186111058392e-05,3.349387721034649e-05,0.9997424200310445,1372
12_density+MCN,"density,MCN",trial_046_h64x32_lr0.001_b32_d0_w1,64x32,0.001,32,0.0,1.0,6.280338660122955e-05,3.988863005366284e-05,0.9997400681065828,1951
17_MCN+q_over_p,"MCN,q_over_p",trial_015_h16x8_lr0.001_b32_d0.1_w0.25,16x8,0.001,32,0.1,0.25,6.28340477291567e-05,3.903326784720161e-05,0.9997398142428684,2472
12_density+MCN,"density,MCN",trial_019_h32x16_lr0.0003_b16_d0.1_w0.25,32x16,0.0003,16,0.1,0.25,6.289431352453901e-05,4.008538465337204e-05,0.9997393149014489,713
03_MCN,MCN,trial_035_h64x32_lr0.0003_b16_d0.1_w0.25,64x32,0.0003,16,0.1,0.25,6.290258431733672e-05,3.453495774666376e-05,0.9997392463351801,1350
03_MCN,MCN,trial_036_h64x32_lr0.0003_b16_d0.1_w1,64x32,0.0003,16,0.1,1.0,6.291576258305199e-05,3.6605158126357046e-05,0.9997391370665046,1406
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_035_h64x32_lr0.0003_b16_d0.1_w0.25,64x32,0.0003,16,0.1,0.25,6.334876755473702e-05,4.4620331814623056e-05,0.9997355340380351,894
12_density+MCN,"density,MCN",trial_042_h64x32_lr0.001_b16_d0_w1,64x32,0.001,16,0.0,1.0,6.372358349589124e-05,3.4558851448909435e-05,0.9997323952458509,1232
12_density+MCN,"density,MCN",trial_037_h64x32_lr0.0003_b32_d0_w0.25,64x32,0.0003,32,0.0,0.25,6.389546133344583e-05,4.3223087217031065e-05,0.9997309497101743,1276
03_MCN,MCN,trial_044_h64x32_lr0.001_b16_d0.1_w1,64x32,0.001,16,0.1,1.0,6.531390794166677e-05,3.8337018574815455e-05,0.9997188715594868,814
16_MCN+q,"MCN,q",trial_012_h16x8_lr0.001_b16_d0.1_w1,16x8,0.001,16,0.1,1.0,6.540665775954761e-05,3.772155404982188e-05,0.9997180725527739,1794
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_023_h32x16_lr0.0003_b32_d0.1_w0.25,32x16,0.0003,32,0.1,0.25,6.551826947111759e-05,4.124774368501224e-05,0.9997171095544012,1522
12_density+MCN,"density,MCN",trial_029_h32x16_lr0.001_b32_d0_w0.25,32x16,0.001,32,0.0,0.25,6.617878464266188e-05,4.390794399801439e-05,0.9997113769456557,2000
16_MCN+q,"MCN,q",trial_044_h64x32_lr0.001_b16_d0.1_w1,64x32,0.001,16,0.1,1.0,6.636303194602279e-05,4.1147333109853555e-05,0.9997097676067783,1958
16_MCN+q,"MCN,q",trial_027_h32x16_lr0.001_b16_d0.1_w0.25,32x16,0.001,16,0.1,0.25,6.656482833724475e-05,4.289677681957494e-05,0.9997079998486074,1452
16_MCN+q,"MCN,q",trial_011_h16x8_lr0.001_b16_d0.1_w0.25,16x8,0.001,16,0.1,0.25,6.677775543943315e-05,3.941464639842933e-05,0.9997061287647423,1441
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_039_h64x32_lr0.0003_b32_d0.1_w0.25,64x32,0.0003,32,0.1,0.25,6.678142151261115e-05,4.862327456540203e-05,0.9997060964970201,1405
12_density+MCN,"density,MCN",trial_024_h32x16_lr0.0003_b32_d0.1_w1,32x16,0.0003,32,0.1,1.0,6.681720735685007e-05,4.623176877768895e-05,0.9997057814272674,1236
17_MCN+q_over_p,"MCN,q_over_p",trial_032_h32x16_lr0.001_b32_d0.1_w1,32x16,0.001,32,0.1,1.0,6.710681828235118e-05,4.804623957114886e-05,0.9997032253917706,764
03_MCN,MCN,trial_024_h32x16_lr0.0003_b32_d0.1_w1,32x16,0.0003,32,0.1,1.0,6.75856713836177e-05,4.068602874670177e-05,0.9996989749004971,2012
17_MCN+q_over_p,"MCN,q_over_p",trial_019_h32x16_lr0.0003_b16_d0.1_w0.25,32x16,0.0003,16,0.1,0.25,6.77356528393008e-05,4.788979249268256e-05,0.9996976373898514,1042
17_MCN+q_over_p,"MCN,q_over_p",trial_016_h16x8_lr0.001_b32_d0.1_w1,16x8,0.001,32,0.1,1.0,6.807575866945696e-05,4.4358482929214194e-05,0.9996945933959108,2221
03_MCN,MCN,trial_016_h16x8_lr0.001_b32_d0.1_w1,16x8,0.001,32,0.1,1.0,6.813423425614304e-05,3.4039261380546354e-05,0.9996940684953919,547
16_MCN+q,"MCN,q",trial_008_h16x8_lr0.0003_b32_d0.1_w1,16x8,0.0003,32,0.1,1.0,6.835284639161753e-05,3.8798378626083316e-05,0.9996921021524884,4342
16_MCN+q,"MCN,q",trial_004_h16x8_lr0.0003_b16_d0.1_w1,16x8,0.0003,16,0.1,1.0,6.840298711421166e-05,3.89175859216057e-05,0.999691650265441,2434
03_MCN,MCN,trial_023_h32x16_lr0.0003_b32_d0.1_w0.25,32x16,0.0003,32,0.1,0.25,6.849144723828238e-05,3.956731241284435e-05,0.999690852221546,1720
03_MCN,MCN,trial_026_h32x16_lr0.001_b16_d0_w1,32x16,0.001,16,0.0,1.0,6.86137115717626e-05,4.504542424438611e-05,0.9996897475147525,1040
12_density+MCN,"density,MCN",trial_004_h16x8_lr0.0003_b16_d0.1_w1,16x8,0.0003,16,0.1,1.0,6.880042006519039e-05,4.347162082592944e-05,0.9996880567276891,1398
16_MCN+q,"MCN,q",trial_019_h32x16_lr0.0003_b16_d0.1_w0.25,32x16,0.0003,16,0.1,0.25,6.931430311469565e-05,4.19647628584732e-05,0.9996833794008976,2500
17_MCN+q_over_p,"MCN,q_over_p",trial_020_h32x16_lr0.0003_b16_d0.1_w1,32x16,0.0003,16,0.1,1.0,6.990479323942189e-05,4.5803857829995014e-05,0.9996779618263838,1225
16_MCN+q,"MCN,q",trial_016_h16x8_lr0.001_b32_d0.1_w1,16x8,0.001,32,0.1,1.0,6.99801043924548e-05,3.9946392952730224e-05,0.999677267564104,2641
16_MCN+q,"MCN,q",trial_031_h32x16_lr0.001_b32_d0.1_w0.25,32x16,0.001,32,0.1,0.25,7.003704693896702e-05,4.19675406735036e-05,0.9996767421380952,2617
16_MCN+q,"MCN,q",trial_032_h32x16_lr0.001_b32_d0.1_w1,32x16,0.001,32,0.1,1.0,7.018165966739657e-05,4.265202372952183e-05,0.9996754058320877,1964
16_MCN+q,"MCN,q",trial_020_h32x16_lr0.0003_b16_d0.1_w1,32x16,0.0003,16,0.1,1.0,7.021701286191572e-05,4.481813371855211e-05,0.9996750787286501,2616
03_MCN,MCN,trial_042_h64x32_lr0.001_b16_d0_w1,64x32,0.001,16,0.0,1.0,7.057939053010189e-05,5.321921681595235e-05,0.9996717163514586,370
16_MCN+q,"MCN,q",trial_003_h16x8_lr0.0003_b16_d0.1_w0.25,16x8,0.0003,16,0.1,0.25,7.057944004627159e-05,4.257628848410781e-05,0.9996717158908325,2228
16_MCN+q,"MCN,q",trial_015_h16x8_lr0.001_b32_d0.1_w0.25,16x8,0.001,32,0.1,0.25,7.210599116872045e-05,4.116405625613124e-05,0.999657361511167,2478
03_MCN,MCN,trial_012_h16x8_lr0.001_b16_d0.1_w1,16x8,0.001,16,0.1,1.0,7.225035408907202e-05,4.541190934179062e-05,0.9996559881493109,507
03_MCN,MCN,trial_004_h16x8_lr0.0003_b16_d0.1_w1,16x8,0.0003,16,0.1,1.0,7.286483839483981e-05,4.212883618015878e-05,0.9996501116712188,1106
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_032_h32x16_lr0.001_b32_d0.1_w1,32x16,0.001,32,0.1,1.0,7.334580232762538e-05,3.755571176597835e-05,0.9996454773627887,820
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_043_h64x32_lr0.001_b16_d0.1_w0.25,64x32,0.001,16,0.1,0.25,7.349049766575458e-05,5.317137722755859e-05,0.999644077190702,954
03_MCN,MCN,trial_025_h32x16_lr0.001_b16_d0_w0.25,32x16,0.001,16,0.0,0.25,7.398759259674522e-05,4.925613440899334e-05,0.99963924593211,2038
03_MCN,MCN,trial_041_h64x32_lr0.001_b16_d0_w0.25,64x32,0.001,16,0.0,0.25,7.412275647285996e-05,3.854166641800693e-05,0.9996379266444902,1550
12_density+MCN,"density,MCN",trial_003_h16x8_lr0.0003_b16_d0.1_w0.25,16x8,0.0003,16,0.1,0.25,7.427389689188324e-05,4.744236811066729e-05,0.9996364485637002,1243
17_MCN+q_over_p,"MCN,q_over_p",trial_008_h16x8_lr0.0003_b32_d0.1_w1,16x8,0.0003,32,0.1,1.0,7.437355313062265e-05,4.526913874101921e-05,0.9996354723263954,3520
03_MCN,MCN,trial_029_h32x16_lr0.001_b32_d0_w0.25,32x16,0.001,32,0.0,0.25,7.444565761673218e-05,5.077472176442573e-05,0.9996347651712156,1230
16_MCN+q,"MCN,q",trial_007_h16x8_lr0.0003_b32_d0.1_w0.25,16x8,0.0003,32,0.1,0.25,7.473084638050615e-05,4.291737618699592e-05,0.9996319615051855,2976
12_density+MCN,"density,MCN",trial_012_h16x8_lr0.001_b16_d0.1_w1,16x8,0.001,16,0.1,1.0,7.49744480652864e-05,4.287952450926488e-05,0.9996295581891107,853
03_MCN,MCN,trial_018_h32x16_lr0.0003_b16_d0_w1,32x16,0.0003,16,0.0,1.0,7.582081539512855e-05,4.862527440120604e-05,0.9996211473362528,1892
17_MCN+q_over_p,"MCN,q_over_p",trial_003_h16x8_lr0.0003_b16_d0.1_w0.25,16x8,0.0003,16,0.1,0.25,7.620454944464628e-05,4.344964986663145e-05,0.9996173028365205,1921
03_MCN,MCN,trial_008_h16x8_lr0.0003_b32_d0.1_w1,16x8,0.0003,32,0.1,1.0,7.654115482817415e-05,4.3049235195632346e-05,0.9996139145236396,1710
17_MCN+q_over_p,"MCN,q_over_p",trial_007_h16x8_lr0.0003_b32_d0.1_w0.25,16x8,0.0003,32,0.1,0.25,7.708319408688393e-05,4.4142344238192224e-05,0.9996084269009655,3126
17_MCN+q_over_p,"MCN,q_over_p",trial_031_h32x16_lr0.001_b32_d0.1_w0.25,32x16,0.001,32,0.1,0.25,7.735594107059287e-05,5.134567303345105e-05,0.999605650956578,1067
03_MCN,MCN,trial_003_h16x8_lr0.0003_b16_d0.1_w0.25,16x8,0.0003,16,0.1,0.25,7.768583060216757e-05,4.7517482028090924e-05,0.999602280329537,4386
03_MCN,MCN,trial_017_h32x16_lr0.0003_b16_d0_w0.25,32x16,0.0003,16,0.0,0.25,7.775538996264616e-05,5.175811605407629e-05,0.9996015677797375,1340
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_019_h32x16_lr0.0003_b16_d0.1_w0.25,32x16,0.0003,16,0.1,0.25,7.78024962284534e-05,3.676116752612446e-05,0.9996010848720097,989
03_MCN,MCN,trial_007_h16x8_lr0.0003_b32_d0.1_w0.25,16x8,0.0003,32,0.1,0.25,7.862533530696274e-05,4.0689715891917364e-05,0.9995926024011171,2612
12_density+MCN,"density,MCN",trial_017_h32x16_lr0.0003_b16_d0_w0.25,32x16,0.0003,16,0.0,0.25,7.97068037789504e-05,5.311186298996105e-05,0.9995813180553229,1978
12_density+MCN,"density,MCN",trial_016_h16x8_lr0.001_b32_d0.1_w1,16x8,0.001,32,0.1,1.0,7.990903488936726e-05,5.145821108075713e-05,0.9995791908108957,1259
03_MCN,MCN,trial_030_h32x16_lr0.001_b32_d0_w1,32x16,0.001,32,0.0,1.0,8.020864000739349e-05,5.388963568636318e-05,0.9995760293927125,1228
03_MCN,MCN,trial_021_h32x16_lr0.0003_b32_d0_w0.25,32x16,0.0003,32,0.0,0.25,8.024022976258268e-05,5.4536458388987955e-05,0.999575695369717,1942
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_024_h32x16_lr0.0003_b32_d0.1_w1,32x16,0.0003,32,0.1,1.0,8.02497964674612e-05,4.268912045348704e-05,0.9995755941875751,1874
16_MCN+q,"MCN,q",trial_047_h64x32_lr0.001_b32_d0.1_w0.25,64x32,0.001,32,0.1,0.25,8.087973573978183e-05,5.158664351363967e-05,0.9995689050939514,1832
03_MCN,MCN,trial_015_h16x8_lr0.001_b32_d0.1_w0.25,16x8,0.001,32,0.1,0.25,8.218990256870431e-05,4.540971623948881e-05,0.9995548254020482,1450
03_MCN,MCN,trial_022_h32x16_lr0.0003_b32_d0_w1,32x16,0.0003,32,0.0,1.0,8.236626040605436e-05,5.647614489061778e-05,0.9995529128980111,1994
12_density+MCN,"density,MCN",trial_021_h32x16_lr0.0003_b32_d0_w0.25,32x16,0.0003,32,0.0,0.25,8.244122692743398e-05,5.562899628038341e-05,0.9995520986855568,2824
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_012_h16x8_lr0.001_b16_d0.1_w1,16x8,0.001,16,0.1,1.0,8.25145638299328e-05,5.591362695508026e-05,0.9995513014556672,1410
12_density+MCN,"density,MCN",trial_011_h16x8_lr0.001_b16_d0.1_w0.25,16x8,0.001,16,0.1,0.25,8.25331517974235e-05,5.090069480633908e-05,0.9995510992772156,681
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_004_h16x8_lr0.0003_b16_d0.1_w1,16x8,0.0003,16,0.1,1.0,8.283499400363903e-05,5.911102951734408e-05,0.9995478098122348,2904
12_density+MCN,"density,MCN",trial_018_h32x16_lr0.0003_b16_d0_w1,32x16,0.0003,16,0.0,1.0,8.308569130177794e-05,5.792641764122557e-05,0.999545068593886,3562
16_MCN+q,"MCN,q",trial_043_h64x32_lr0.001_b16_d0.1_w0.25,64x32,0.001,16,0.1,0.25,8.453815331762392e-05,5.517965918712357e-05,0.9995290238043372,1660
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_031_h32x16_lr0.001_b32_d0.1_w0.25,32x16,0.001,32,0.1,0.25,8.638716119079557e-05,4.305239042127272e-05,0.9995081962348532,760
12_density+MCN,"density,MCN",trial_015_h16x8_lr0.001_b32_d0.1_w0.25,16x8,0.001,32,0.1,0.25,8.70492415800801e-05,5.294559446492929e-05,0.9995006288743217,1166
03_MCN,MCN,trial_011_h16x8_lr0.001_b16_d0.1_w0.25,16x8,0.001,16,0.1,0.25,8.983734613464405e-05,6.520206454325776e-05,0.9994681278234154,2711
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_008_h16x8_lr0.0003_b32_d0.1_w1,16x8,0.0003,32,0.1,1.0,9.129421350037565e-05,6.506746725697997e-05,0.9994507375029316,4150
03_MCN,MCN,trial_046_h64x32_lr0.001_b32_d0_w1,64x32,0.001,32,0.0,1.0,9.287084534642308e-05,4.770477664481784e-05,0.9994316023924281,748
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_015_h16x8_lr0.001_b32_d0.1_w0.25,16x8,0.001,32,0.1,0.25,9.287690319411326e-05,6.94813760317986e-05,0.9994315282382967,1357
16_MCN+q,"MCN,q",trial_010_h16x8_lr0.001_b16_d0_w1,16x8,0.001,16,0.0,1.0,9.290849141055132e-05,5.633048430201943e-05,0.9994311414884786,5054
12_density+MCN,"density,MCN",trial_022_h32x16_lr0.0003_b32_d0_w1,32x16,0.0003,32,0.0,1.0,0.00010042166393442631,6.832216354414074e-05,0.9993354184654925,4564
16_MCN+q,"MCN,q",trial_009_h16x8_lr0.001_b16_d0_w0.25,16x8,0.001,16,0.0,0.25,0.00010098182621633161,6.806633419681875e-05,0.9993279835797506,4890
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_016_h16x8_lr0.001_b32_d0.1_w1,16x8,0.001,32,0.1,1.0,0.00010214958431062658,7.195714722142243e-05,0.9993123512605507,2754
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_003_h16x8_lr0.0003_b16_d0.1_w0.25,16x8,0.0003,16,0.1,0.25,0.00010254907630784658,7.668531845599164e-05,0.9993069621569984,3314
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_007_h16x8_lr0.0003_b32_d0.1_w0.25,16x8,0.0003,32,0.1,0.25,0.000103032363414237,7.557622111653477e-05,0.9993004145507294,2337
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_011_h16x8_lr0.001_b16_d0.1_w0.25,16x8,0.001,16,0.1,0.25,0.00010429094224134927,7.464594752988351e-05,0.9992832187663765,1264
17_MCN+q_over_p,"MCN,q_over_p",trial_023_h32x16_lr0.0003_b32_d0.1_w0.25,32x16,0.0003,32,0.1,0.25,0.00011083371841017728,7.338396567974854e-05,0.9991904619775364,787
17_MCN+q_over_p,"MCN,q_over_p",trial_042_h64x32_lr0.001_b16_d0_w1,64x32,0.001,16,0.0,1.0,0.00011909772168523298,8.412184295246528e-05,0.9990652395023543,941
03_MCN,MCN,trial_010_h16x8_lr0.001_b16_d0_w1,16x8,0.001,16,0.0,1.0,0.0001238380226076322,7.641979715358717e-05,0.9989893484149693,1386
03_MCN,MCN,trial_045_h64x32_lr0.001_b32_d0_w0.25,64x32,0.001,32,0.0,0.25,0.00012800692580874895,7.313032533156805e-05,0.9989201575915206,1210
